Date,TSLA_Close,DPS_Close,GOOGL_Close,F_Close,AMZN_Close,JACK_Close
2016-01-25,196.380005,91.010002,733.619995,11.98,596.530029,75.559998
2016-01-26,193.559998,91.419998,733.789978,12.26,601.25,76.059998
2016-01-27,188.070007,90.580002,717.580017,11.85,583.349976,75.139999
2016-01-28,189.699997,92.07,748.299988,11.71,635.349976,76.43
2016-01-29,191.199997,93.839996,761.349976,11.94,587.0,77.639999
2016-02-01,196.940002,95.529999,770.77002,12.07,574.809998,77.839996
2016-02-02,182.779999,94.75,780.909973,11.51,552.099976,76.93
2016-02-03,173.479996,93.199997,749.380005,11.46,531.070007,75.400002
2016-02-04,175.330002,90.230003,730.030029,11.53,536.26001,76.169998
2016-02-05,162.600006,89.349998,703.76001,11.45,502.130005,72.940002
2016-02-08,147.990005,88.989998,704.159973,11.59,488.100006,72.68
2016-02-09,148.25,90.32,701.02002,11.35,482.070007,72.129997
2016-02-10,143.669998,89.970001,706.849976,11.34,490.480011,71.769997
2016-02-11,150.470001,89.589996,706.359985,11.17,503.820007,71.209999
2016-02-12,151.039993,91.970001,706.890015,11.55,507.079987,73.589996
2016-02-16,155.169998,92.010002,717.640015,11.87,521.099976,74.900002
2016-02-17,168.679993,89.330002,731.969971,12.27,534.099976,76.910004
2016-02-18,166.770004,89.940002,717.51001,12.26,525.0,64.480003
2016-02-19,166.580002,90.540001,722.109985,12.1,534.900024,65.620003
2016-02-22,177.740005,91.330002,729.049988,12.56,559.5,64.050003
2016-02-23,177.210007,92.089996,717.289978,12.42,552.940002,66.830002
2016-02-24,179.0,92.669998,720.900024,12.08,554.039978,67.959999
2016-02-25,187.429993,93.209999,729.119995,12.39,555.150024,69.290001
2016-02-26,190.339996,92.18,724.859985,12.47,555.22998,69.279999
2016-02-29,191.929993,91.529999,717.219971,12.51,552.52002,68.75
2016-03-01,186.350006,92.709999,742.169983,13.09,579.039978,69.610001
2016-03-02,188.339996,91.980003,739.47998,13.22,580.210022,69.360001
2016-03-03,195.740005,91.949997,731.590027,13.54,577.48999,69.580002
2016-03-04,201.039993,91.779999,730.219971,13.59,575.140015,70.32
2016-03-07,205.289993,90.209999,712.799988,13.62,562.799988,69.139999
2016-03-08,202.600006,90.75,713.530029,13.23,560.26001,67.669998
2016-03-09,208.720001,92.019997,725.409973,13.19,559.469971,67.529999
2016-03-10,205.179993,92.120003,732.169983,13.15,558.929993,65.029999
2016-03-11,207.5,91.040001,744.869995,13.29,569.609985,66.120003
2016-03-14,215.149994,90.75,750.23999,13.27,573.369995,67.010002
2016-03-15,218.339996,90.68,750.570007,13.23,577.02002,66.050003
2016-03-16,221.929993,90.199997,757.359985,13.5,574.27002,64.699997
2016-03-17,226.380005,91.790001,758.47998,13.47,559.440002,64.849998
2016-03-18,232.740005,90.349998,755.409973,13.64,552.080017,64.860001
2016-03-21,238.320007,90.239998,762.159973,13.66,553.97998,64.900002
2016-03-22,234.240005,89.370003,760.049988,13.59,560.47998,64.290001
2016-03-23,222.580002,89.959999,757.559998,13.26,569.630005,63.099998
2016-03-24,227.75,88.230003,754.840027,13.06,582.950012,63.119999
2016-03-28,230.259995,89.440002,753.280029,13.09,579.869995,62.400002
2016-03-29,230.130005,90.019997,765.890015,13.2,593.859985,64.309998
2016-03-30,226.889999,89.940002,768.340027,13.35,598.690002,64.459999
2016-03-31,229.770004,89.419998,762.900024,13.5,593.640015,63.869999
2016-04-01,237.589996,91.300003,769.669983,13.1,598.5,64.199997
2016-04-04,246.990005,91.0,765.119995,12.8,593.190002,63.810001
2016-04-05,255.470001,91.279999,758.570007,12.77,586.140015,62.889999
2016-04-06,265.420013,91.239998,768.070007,12.82,602.080017,64.150002
2016-04-07,257.200012,89.970001,760.119995,12.52,591.429993,64.410004
2016-04-08,250.070007,91.519997,759.469971,12.55,594.599976,68.040001
2016-04-11,249.919998,90.75,757.539978,12.66,595.929993,67.580002
2016-04-12,247.820007,90.599998,764.320007,12.81,603.169983,67.410004
2016-04-13,254.529999,89.360001,771.909973,13.06,614.820007,68.269997
2016-04-14,251.860001,88.25,775.390015,13.09,620.75,68.18
2016-04-15,254.509995,88.43,780.0,12.94,625.890015,68.459999
2016-04-18,253.880005,88.82,787.679993,13.25,635.349976,68.68
2016-04-19,247.369995,89.589996,776.25,13.44,627.900024,68.199997
2016-04-20,249.970001,87.849998,774.919983,13.64,632.98999,68.290001
2016-04-21,248.289993,86.419998,780.0,13.65,631.0,67.879997
