,0
186,"174Brandon Jennings, PGWashington Wizards$5,000,000"
187,"176C.J. Watson, PGOrlando Magic$5,000,000"
188,"178Roy Hibbert, CCharlotte Hornets$5,000,000"
189,"180Mike Dunleavy, SGCleveland Cavaliers$4,837,500"
190,"182Alex Len, CPhoenix Suns$4,823,621"
191,"184Jaylen Brown, SGBoston Celtics$4,743,000"
192,"186Marcus Morris, PFDetroit Pistons$4,625,000"
193,"188Jameer Nelson, PGDenver Nuggets$4,540,525"
194,"190Aaron Gordon, PFOrlando Magic$4,351,320"
195,"192Kristaps Porzingis, PFNew York Knicks$4,317,720"
196,"194Vince Carter, SGMemphis Grizzlies$4,264,057"
197,"196J.J. Barea, PGDallas Mavericks$4,096,950"
198,"198James Johnson, PFMiami Heat$4,000,000"
199,"200Leandro Barbosa, SGPhoenix Suns$4,000,000"
200,"201Jordan Hill, CMinnesota Timberwolves$4,000,000"
201,"203Dante Exum, PGUtah Jazz$3,940,320"
202,"205Mario Hezonja, SGOrlando Magic$3,909,840"
203,"207Thabo Sefolosha, SFAtlanta Hawks$3,850,000"
204,"209Nick Collison, PFOklahoma City Thunder$3,750,000"
205,"211Kentavious Caldwell-Pope, SGDetroit Pistons$3,678,319"
206,"213Patty Mills, PGSan Antonio Spurs$3,578,948"
207,"215Willie Cauley-Stein, CSacramento Kings$3,551,160"
208,"217Will Barton, SGDenver Nuggets$3,533,333"
209,"219Buddy Hield, SGSacramento Kings$3,517,200"
210,"221Mike Miller, SGDenver Nuggets$3,500,000"
211,"223Trey Burke, PGWashington Wizards$3,386,598"
212,"225KJ McDaniels, SGBrooklyn Nets$3,333,333"
213,"227Julius Randle, PFLos Angeles Lakers$3,267,120"
214,"229CJ McCollum, SGPortland Trail Blazers$3,219,579"
215,"231Michael Carter-Williams, PGChicago Bulls$3,183,526"
216,"233Kelly Olynyk, CBoston Celtics$3,094,014"
217,"235Justin Hamilton, CBrooklyn Nets$3,000,000"
218,"237Giannis Antetokounmpo, PFMilwaukee Bucks$2,995,421"
219,"239Dante Cunningham, SFNew Orleans Pelicans$2,978,250"
220,"202Lance Stephenson, SGMinnesota Timberwolves$4,000,000"
221,"204Kyle O'Quinn, CNew York Knicks$3,918,750"
222,"206Kris Dunn, PGMinnesota Timberwolves$3,872,520"
223,"208Nemanja Bjelica, PFMinnesota Timberwolves$3,800,000"
224,"210Bojan Bogdanovic, SFWashington Wizards$3,730,653"
225,"212Quincy Pondexter, SGChicago Bulls$3,617,978"
226,"214Marcus Smart, PGBoston Celtics$3,578,880"
227,"216Drew Gooden, PFWashington Wizards$3,547,000"
228,"218Paul Pierce, SFLA Clippers$3,527,920"
229,"220Brandon Rush, SGMinnesota Timberwolves$3,500,000"
230,"222Anthony Morrow, SGOklahoma City Thunder$3,488,000"
231,"224Mike Scott, PFAtlanta Hawks$3,333,334"
232,"226Troy Daniels, SGMemphis Grizzlies$3,332,940"
233,"228Emmanuel Mudiay, PGDenver Nuggets$3,241,800"
234,"230Jamal Murray, PGDenver Nuggets$3,210,840"
235,"232Steven Adams, COklahoma City Thunder$3,140,517"
236,"234Shabazz Muhammad, SGMinnesota Timberwolves$3,046,299"
