,0,1,2,3,4
108,"Sawyer (Buckhorn Brothers, #1)",Lori Foster,4.03,  516,/book/show/225593.Sawyer
109,"These Old Shades (Alastair, #1)",Georgette Heyer,4.06,  483,/book/show/311182.These_Old_Shades
110,The Color Purple,Alice Walker,4.17,  470,/book/show/11486.The_Color_Purple
111,Yours Until Dawn,Teresa Medeiros,4.09,  454,/book/show/350683.Yours_Until_Dawn
112,The Windflower,Laura London,4.06,  449,/book/show/679702.The_Windflower
113,"Comanche Moon (Comanche, #1)",Catherine Anderson,4.12,  434,/book/show/133499.Comanche_Moon
114,"Divergent (Divergent, #1)",Veronica Roth,4.24,  423,/book/show/13335037-divergent
115,Prince Charming,Julie Garwood,4.04,  419,/book/show/107777.Prince_Charming
116,Cry No More,Linda Howard,4.09,  388,/book/show/187500.Cry_No_More
117,The Masqueraders,Georgette Heyer,4.03,  380,/book/show/311201.The_Masqueraders
118,One Perfect Rose (Fallen Angels #7),Mary Jo  Putney,4.01,  375,/book/show/264339.One_Perfect_Rose
119,"Truce (Neighbor from Hell, #4)",R.L. Mathewson,4.34,  375,/book/show/17352874-truce
120,"Maid for Love (Gansett Island Series, #1)",Marie Force,3.98,  366,/book/show/11808919-maid-for-love
121,"Shadow of Night (All Souls Trilogy, #2)",Deborah Harkness,4.04,  360,/book/show/11559200-shadow-of-night
122,Memoirs of a Geisha,Arthur Golden,4.08,  357,/book/show/930.Memoirs_of_a_Geisha
123,Emma,Jane Austen,3.99,  357,/book/show/15777407-emma
124,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.26,  355,/book/show/937207.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe
125,Romeo and Juliet,William Shakespeare,3.74,  352,/book/show/18135.Romeo_and_Juliet
126,"Playing for Keeps (Neighbor from Hell, #1)",R.L. Mathewson,4.08,  348,/book/show/11381643-playing-for-keeps
127,Water for Elephants,Sara Gruen,4.07,  347,/book/show/43641.Water_for_Elephants
128,A Town Like Alice,Nevil Shute,4.12,  327,/book/show/107301.A_Town_Like_Alice
129,"Tempt Me at Twilight (The Hathaways, #3)",Lisa Kleypas,4.18,  325,/book/show/6264710-tempt-me-at-twilight
130,"This Girl (Slammed, #3)",Colleen Hoover,4.18,  322,/book/show/15784909-this-girl
131,Once in a Blue Moon,Penelope Williamson,4.06,  312,/book/show/2056222.Once_in_a_Blue_Moon
132,Mrs. Drew Plays Her Hand,Carla Kelly,4.07,  308,/book/show/222813.Mrs_Drew_Plays_Her_Hand
133,Porcelain Keys,Sarah Beard,4.20,  300,/book/show/18317952-porcelain-keys
134,"The Dark Prince (Les Fées: The French Fae Legend, #1)",Emma V. Leech,3.96,  299,/book/show/18813405-the-dark-prince
135,"The Dark Heart (Les Fées: The French Fae Legend, #2)",Emma V. Leech,4.49,  298,/book/show/28674084-the-dark-heart
136,The Duke's Redemption,Carla Capshaw,4.15,  294,/book/show/6893384-the-duke-s-redemption
137,The Protector,Carla Capshaw,4.28,  293,/book/show/7685306-the-protector
138,A Place to Call Home,Deborah Smith,4.05,  289,/book/show/584486.A_Place_to_Call_Home
139,"Mrs. Mike (Mrs. Mike, #1)",Benedict Freedman,4.13,  289,/book/show/155712.Mrs_Mike
140,"How to Marry a Marquis (Agents of the Crown, #2)",Julia Quinn,4.01,  285,/book/show/110397.How_to_Marry_a_Marquis
141,Only Love Is Real: A Story of Soulmates Reunited,Brian L. Weiss,4.15,  284,/book/show/135564.Only_Love_Is_Real
142,Phantom Waltz,Catherine Anderson,4.19,  283,/book/show/2236101.Phantom_Waltz
143,"Tatiana and Alexander (The Bronze Horseman, #2)",Paullina Simons,4.30,  280,/book/show/83143.Tatiana_and_Alexander
144,Whispers of Heaven,Candice Proctor,4.00,  275,/book/show/1813357.Whispers_of_Heaven
145,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories (Sarah Agnes Prine, #1)",Nancy E. Turner,4.34,  267,/book/show/348225.These_Is_My_Words
146,The Blue Castle,L.M. Montgomery,4.23,  267,/book/show/95693.The_Blue_Castle
