"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard," 4.02 avg rating _яс 128,389 ratings","score: 1,628",/book/show/11175681-gabriel-s-inferno
"Seduce Me at Sunrise (The Hathaways, #2)",Lisa Kleypas," 4.10 avg rating _яс 24,172 ratings","score: 1,612",/book/show/2948832-seduce-me-at-sunrise
After the Night,Linda Howard," 4.10 avg rating _яс 18,785 ratings","score: 1,529",/book/show/420739.After_the_Night
"Born in Ice (Born In Trilogy, #2)",Nora Roberts," 4.13 avg rating _яс 28,055 ratings","score: 1,515",/book/show/114129.Born_in_Ice
"The Rake (Davenport, #2)",Mary Jo  Putney," 4.05 avg rating _яс 5,804 ratings","score: 1,497",/book/show/614718.The_Rake
Secret Deceptions (Amatore's Restaurant #1),James Sillwood, 4.49 avg rating _яс 39 ratings,"score: 1,494",/book/show/25001951-secret-deceptions
"Born in Fire (Born In Trilogy, #1)",Nora Roberts," 4.21 avg rating _яс 59,592 ratings","score: 1,490",/book/show/114145.Born_in_Fire
"Again the Magic (Wallflowers, #0)",Lisa Kleypas," 4.05 avg rating _яс 26,606 ratings","score: 1,452",/book/show/674220.Again_the_Magic
"Sea Swept (Chesapeake Bay Saga, #1)",Nora Roberts," 4.24 avg rating _яс 50,397 ratings","score: 1,431",/book/show/628139.Sea_Swept
The Pillars of the Earth,Ken Follett," 4.29 avg rating _яс 499,838 ratings","score: 1,398",/book/show/997354.The_Pillars_of_the_Earth
"After the Fall (Roman Time Travel, #2)",Morgan O'Neill, 4.12 avg rating _яс 188 ratings,"score: 1,386",/book/show/15776243-after-the-fall
"Devil's Bride (Cynster, #1)",Stephanie Laurens," 4.10 avg rating _яс 14,933 ratings","score: 1,331",/book/show/363499.Devil_s_Bride
"Then Came You (The Gamblers, #1)",Lisa Kleypas," 3.99 avg rating _яс 18,516 ratings","score: 1,330",/book/show/114170.Then_Came_You
"The Raven Prince (Princes Trilogy, #1)",Elizabeth Hoyt," 3.98 avg rating _яс 15,178 ratings","score: 1,328",/book/show/28863.The_Raven_Prince
A Queen's Spy: The Tudor Mystery Trials,Samantha Burnell, 4.19 avg rating _яс 53 ratings,"score: 1,300",/book/show/34941821-a-queen-s-spy
"See Jane Score (Chinooks Hockey Team, #2)",Rachel Gibson," 4.06 avg rating _яс 21,915 ratings","score: 1,252",/book/show/60223.See_Jane_Score
A Walk to Remember,Nicholas Sparks," 4.15 avg rating _яс 560,677 ratings","score: 1,224",/book/show/3473.A_Walk_to_Remember
Morning Glory,LaVyrle Spencer," 4.24 avg rating _яс 9,633 ratings","score: 1,209",/book/show/987577.Morning_Glory
"Scandal in Spring (Wallflowers, #4)",Lisa Kleypas," 4.02 avg rating _яс 27,875 ratings","score: 1,169",/book/show/105574.Scandal_in_Spring
"Rising Tides (Chesapeake Bay Saga, #2)",Nora Roberts," 4.16 avg rating _яс 25,484 ratings","score: 1,101",/book/show/534733.Rising_Tides
Reckless Endangerment,Amber Lea Easton, 4.06 avg rating _яс 263 ratings,"score: 1,095",/book/show/17796115-reckless-endangerment
Redeeming Love,Francine Rivers," 4.49 avg rating _яс 164,334 ratings","score: 1,079",/book/show/950839.Redeeming_Love
North and South,Elizabeth Gaskell," 4.13 avg rating _яс 107,452 ratings",score: 935,/book/show/14800526-north-and-south
Practice Makes Perfect,Julie James," 3.99 avg rating _яс 25,100 ratings",score: 927,/book/show/5082599-practice-makes-perfect
"Easy (Contours of the Heart, #1)",Tammara Webber," 4.11 avg rating _яс 190,872 ratings",score: 902,/book/show/13548456-easy
"Return to Me (Roman Time Travel, #3)",Morgan O'Neill, 4.15 avg rating _яс 130 ratings,score: 879,/book/show/16114561-return-to-me
Ravished,Amanda Quick," 4.01 avg rating _яс 13,408 ratings",score: 864,/book/show/367689.Ravished
"A Summer to Remember (Bedwyn Prequels, #2)",Mary Balogh," 4.07 avg rating _яс 7,711 ratings",score: 819,/book/show/35334.A_Summer_to_Remember
