,FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,SPORT,PCTMARR,HOMEVAL
4648,834W87XC,0,0,0,1,0,0,25,3,0,50,1,1,1,0.0,49,36
4650,631E80PO,0,0,0,1,0,1,25,7,1,59,4,1,1,0.0,66,71
4654,851D76KL,0,1,0,0,0,0,15,4,0,48,0,1,1,0.0,31,37
4656,871B03WX,0,0,1,1,1,0,15,10,1,67,1,1,1,0.0,49,23
4657,379D25VL,0,0,0,1,0,0,15,9,1,73,4,1,1,0.0,62,238
4659,094A47BM,1,0,0,1,0,1,25,5,0,67,6,0,1,0.0,78,223
4662,730Y14WS,0,1,0,0,1,1,50,10,1,64,4,1,1,0.0,68,155
4663,004J99UO,0,0,0,1,1,1,25,6,1,75,1,1,1,0.0,48,69
4666,523N95VT,1,0,1,0,1,1,25,8,1,97,0,0,1,0.0,66,64
4667,352L65ZC,0,0,1,1,0,0,25,3,0,74,1,0,1,0.0,70,89
4670,498Z02UM,0,1,1,1,1,1,25,7,1,69,1,0,1,0.0,39,225
4671,100P44FR,0,0,1,1,0,0,15,3,0,79,3,1,1,0.0,61,82
4674,930E59ZJ,0,1,1,0,0,1,25,11,1,52,2,0,1,0.0,69,42
4675,450E05TI,1,0,1,1,0,0,15,3,0,79,3,1,1,0.0,63,45
4677,975S69XA,0,0,0,1,0,1,15,3,1,42,4,0,1,0.0,68,92
4680,237J61LB,1,1,0,1,0,1,15,4,0,43,3,1,1,0.0,68,146
4681,080I26PB,0,0,0,1,0,1,15,4,1,71,1,1,1,0.0,67,89
4682,119N29RR,0,1,1,1,0,1,15,3,0,69,1,1,1,0.0,65,30
4683,715D57NI,0,1,0,1,0,1,25,3,0,39,5,1,1,0.0,60,246
4686,479C43NO,1,0,1,0,0,0,15,3,0,53,5,0,1,0.0,64,353
4687,670W85ZY,0,0,1,1,0,1,15,4,1,50,0,1,1,0.0,53,41
4688,820S50CD,1,0,0,1,0,0,15,4,0,32,3,0,1,0.0,60,58
4694,247U95PQ,1,1,1,1,0,1,15,9,0,81,1,0,1,1.0,44,113
4697,233A41SU,0,0,0,0,0,1,15,11,1,86,0,1,1,0.0,53,88
4698,494Z26MR,1,0,0,1,0,0,25,2,0,64,5,0,1,0.0,60,70
4701,566O16TR,1,0,0,1,0,0,15,3,0,76,3,1,1,0.0,61,177
4703,543N88TK,0,0,1,1,0,1,50,4,0,39,3,0,1,0.0,40,39
4704,105E85KT,0,0,1,1,1,1,25,6,1,67,1,0,1,0.0,70,70
4705,010E44XU,0,1,0,0,1,1,25,9,0,86,1,0,1,0.0,60,50
4707,778R46CV,1,0,0,1,0,0,25,5,0,81,4,1,1,0.0,50,64
4708,774I04PM,1,1,0,1,1,1,25,11,1,61,5,0,1,0.0,65,102
4710,636G73WY,1,0,1,0,0,0,15,3,0,85,6,1,1,0.0,43,128
4714,063T56WA,1,1,1,0,1,1,15,11,1,40,6,1,1,0.0,70,112
4715,707R05DK,0,0,1,1,1,1,15,5,1,28,2,1,1,0.0,61,85
4716,730Y58IU,0,1,0,1,0,1,25,3,0,37,2,1,1,0.0,55,68
4717,798Y17XY,1,0,0,0,1,0,25,9,0,74,3,0,1,0.0,53,233
4720,805A28EY,1,1,1,0,0,1,15,6,0,39,4,0,1,0.0,50,51
4721,524Y64NO,1,0,1,0,1,0,25,7,0,71,3,1,1,0.0,44,151
4723,626G89ED,0,0,0,1,0,0,15,3,1,41,4,0,1,0.0,54,147
4725,484T48LS,1,1,1,1,0,1,15,4,0,65,5,0,1,1.0,58,63
4726,770A03IW,0,1,0,1,1,1,15,5,0,69,4,0,1,0.0,50,160
