,FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,SPORT,PCTMARR,HOMEVAL
5215,632Q82KX,0,0,1,0,1,0,15,11,1,76.0,2.0,1.0,1.0,0.0,72,168
5216,304J71GT,0,0,0,1,1,1,15,11,1,70.0,4.0,0.0,1.0,0.0,66,47
5217,615E95XR,1,0,1,1,1,1,25,9,0,75.0,1.0,0.0,1.0,0.0,56,112
5218,215T01PS,0,0,1,1,0,0,50,6,0,49.0,3.0,0.0,1.0,0.0,59,45
5219,141E89VF,0,0,1,1,0,0,15,9,1,40.0,2.0,0.0,1.0,0.0,48,34
5220,539U01GN,1,0,1,1,1,1,15,4,0,77.0,1.0,0.0,1.0,0.0,63,54
5222,657Q49OC,0,0,1,1,1,1,15,7,1,37.0,3.0,0.0,1.0,0.0,63,77
5223,929V02XT,0,0,0,1,0,1,15,9,1,66.0,4.0,0.0,1.0,0.0,65,110
5225,297T81RI,0,1,0,0,1,0,15,6,1,27.0,4.0,0.0,1.0,0.0,65,52
5226,625F44BH,0,0,1,1,0,0,15,3,0,72.0,4.0,1.0,1.0,0.0,77,155
5227,417R36AG,0,1,0,1,0,0,15,10,1,80.0,1.0,1.0,1.0,0.0,57,66
5228,938H00DF,0,0,0,1,0,0,15,8,1,63.0,4.0,0.0,1.0,0.0,69,69
5229,460X03JT,0,0,0,1,1,1,15,5,1,81.0,1.0,1.0,1.0,0.0,56,37
5230,836V74AT,0,0,1,1,0,1,15,11,1,69.0,3.0,1.0,1.0,0.0,66,48
5231,046Y04NJ,1,0,1,1,0,0,25,2,0,35.0,5.0,0.0,1.0,0.0,52,205
5232,713H58EI,1,1,0,0,0,1,15,5,0,45.0,3.0,0.0,1.0,0.0,60,57
5233,965B30FJ,0,1,0,1,1,1,15,6,1,63.0,1.0,0.0,1.0,0.0,61,57
5234,585J93UT,0,0,0,1,1,1,15,7,1,50.0,2.0,0.0,1.0,0.0,66,62
5236,565R24DT,0,1,1,0,0,0,15,5,1,63.0,1.0,0.0,1.0,0.0,51,98
5237,246X68KO,1,1,1,1,1,0,15,6,1,72.0,3.0,0.0,1.0,0.0,52,399
5239,303D34OY,0,0,0,1,0,1,25,3,1,68.0,6.0,0.0,1.0,0.0,53,97
