,FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,SPORT,PCTMARR,HOMEVAL
2182,943R01YD,1,0,0,0,1,0,25,6,1,67.0,2.0,1.0,1.0,0.0,65,39
2184,252L22RZ,1,0,1,1,1,1,50,3,0,63.0,5.0,0.0,1.0,0.0,59,101
2185,146V66NS,1,0,0,0,0,1,15,6,0,67.0,0.0,0.0,1.0,0.0,0,0
2186,763C71KW,0,1,1,1,0,1,50,6,0,63.0,3.0,0.0,1.0,0.0,63,46
2187,291N53IA,0,1,0,0,1,1,15,8,1,29.0,5.0,1.0,1.0,0.0,79,227
2189,550R69MK,1,1,1,0,1,0,25,6,0,76.0,5.0,1.0,1.0,0.0,65,43
2190,117P56BI,0,0,0,1,1,1,15,8,1,67.0,0.0,0.0,1.0,0.0,66,75
2191,859Z37QW,1,0,0,1,0,0,15,3,0,52.0,6.0,0.0,1.0,0.0,49,65
2192,111V49KA,1,0,0,1,0,0,15,3,0,70.0,0.0,1.0,1.0,0.0,50,27
2193,162Q62SR,1,0,1,1,0,0,25,2,0,37.0,1.0,1.0,1.0,0.0,42,92
2194,844H94XK,1,1,1,0,1,0,25,7,0,68.0,0.0,1.0,1.0,0.0,29,49
2195,223U71BN,1,1,1,1,0,0,25,5,0,55.0,2.0,0.0,1.0,0.0,67,69
2196,197E43GA,0,1,1,1,0,0,25,4,0,29.0,5.0,1.0,1.0,0.0,45,278
2197,644L70QU,0,0,0,1,0,0,15,3,0,36.0,1.0,1.0,1.0,0.0,59,58
2199,014X35ZU,0,0,1,1,0,1,15,7,0,63.0,3.0,0.0,1.0,0.0,53,51
2200,038Y72DU,1,1,1,1,0,1,15,7,0,63.0,0.0,0.0,1.0,0.0,57,37
2201,238A52YR,0,0,0,0,0,1,15,3,0,63.0,2.0,1.0,1.0,0.0,71,68
2202,229R29ES,0,0,0,1,0,1,25,11,1,63.0,3.0,1.0,1.0,0.0,73,99
2203,818Z05DX,1,0,1,1,0,0,15,8,0,51.0,3.0,1.0,1.0,0.0,61,75
2204,737C28UD,1,1,1,0,0,0,15,11,1,93.0,3.0,0.0,1.0,0.0,45,81
2205,814T93EQ,0,0,0,1,1,1,15,7,1,55.0,3.0,0.0,1.0,0.0,45,53
2207,506R52FH,0,1,0,1,0,1,50,7,0,73.0,0.0,0.0,0.0,0.0,72,120
2209,186O76QX,0,0,0,0,1,1,15,7,1,80.0,3.0,1.0,1.0,0.0,57,73
2210,678P81CL,0,0,1,1,0,0,15,3,0,87.0,4.0,1.0,1.0,0.0,70,114
2211,311Y36GM,1,1,1,1,1,1,25,11,1,48.0,3.0,0.0,1.0,0.0,69,84
2212,271L51JH,1,0,1,0,0,0,15,2,0,44.0,6.0,1.0,1.0,0.0,76,125
2213,531P58JZ,0,0,1,0,0,0,15,4,0,31.0,4.0,0.0,1.0,0.0,29,63
2215,789R28FQ,1,0,1,0,1,0,15,7,0,40.0,4.0,0.0,1.0,0.0,71,142
2216,065B14NU,0,0,1,1,0,1,15,6,0,60.0,3.0,1.0,1.0,0.0,70,79
2217,877M09QY,0,0,0,1,0,1,25,4,1,43.0,3.0,1.0,1.0,0.0,66,43
2218,970N37OC,1,0,0,0,1,0,15,6,0,72.0,3.0,1.0,1.0,0.0,64,64
2219,281M92QE,1,1,0,0,0,0,25,4,0,63.0,2.0,1.0,1.0,0.0,65,56
2220,559K76TO,0,0,0,1,0,0,15,6,0,81.0,1.0,1.0,1.0,0.0,62,54
2221,416V54FA,0,1,0,1,0,1,15,8,1,37.0,4.0,1.0,1.0,1.0,59,66
2222,073Q83BC,1,0,0,1,0,0,15,3,0,51.0,5.0,1.0,1.0,0.0,70,287
2223,388H98NI,1,0,1,1,0,1,15,4,0,71.0,0.0,0.0,1.0,0.0,60,216
2225,359G48KX,1,0,1,1,0,0,25,3,0,46.0,0.0,1.0,1.0,1.0,72,41
2226,968B10DQ,1,1,0,0,0,0,15,10,1,85.0,0.0,0.0,1.0,0.0,57,163
2227,039N97IS,0,1,1,0,1,1,25,5,0,79.0,1.0,1.0,1.0,0.0,59,70
2228,058V28KE,1,1,0,0,0,0,15,11,1,86.0,5.0,1.0,1.0,0.0,30,310
2229,762T89JM,1,1,1,1,1,1,15,7,1,63.0,4.0,0.0,1.0,0.0,66,137
2230,741M14DB,0,0,0,1,0,1,50,11,1,56.0,4.0,1.0,1.0,0.0,44,207
2231,677X17LM,0,0,1,1,0,1,15,9,1,62.0,1.0,0.0,1.0,0.0,73,51
2233,281U49JG,1,0,1,1,0,0,15,3,0,35.0,5.0,1.0,1.0,0.0,59,132
2234,666L19MJ,1,0,1,0,0,1,15,4,1,63.0,6.0,0.0,1.0,0.0,61,69
2235,014S22CL,0,0,0,1,0,0,25,9,1,56.0,3.0,1.0,1.0,0.0,63,78
2236,157J07FH,0,0,1,1,0,0,25,5,0,46.0,4.0,1.0,1.0,0.0,78,110
2237,368Y42TS,0,0,0,1,1,1,15,11,1,91.0,0.0,0.0,1.0,0.0,51,63
2238,691U54GM,1,0,1,1,0,0,15,3,0,63.0,5.0,0.0,1.0,0.0,49,33
2239,128N95RI,0,1,0,1,0,1,15,3,1,66.0,3.0,0.0,1.0,0.0,74,122
2240,524B79NE,1,0,1,0,0,0,50,9,0,60.0,1.0,1.0,1.0,0.0,42,66
2241,627W51FB,0,1,0,0,1,0,15,5,1,61.0,0.0,0.0,1.0,0.0,48,81
2242,102S23LJ,0,1,0,1,1,1,15,4,1,46.0,4.0,1.0,1.0,0.0,43,65
2243,231A76JF,1,0,1,1,0,0,15,2,0,63.0,5.0,0.0,1.0,1.0,54,61
2244,474Z20FK,0,1,0,0,1,1,15,11,1,62.0,3.0,1.0,1.0,0.0,37,43
2247,015O68BO,1,0,0,1,0,0,25,6,1,63.0,3.0,0.0,1.0,0.0,70,41
2248,455O61RK,0,0,0,1,0,1,15,11,1,86.0,1.0,0.0,1.0,0.0,56,65
2249,238M50JK,1,0,1,0,0,0,25,3,0,51.0,6.0,1.0,1.0,0.0,73,151
2250,775J20PH,1,1,0,0,1,1,25,9,1,71.0,4.0,1.0,1.0,0.0,58,29
2253,743P37ME,1,0,0,1,0,0,25,6,1,63.0,0.0,1.0,1.0,0.0,68,74
2254,455J00CV,0,0,1,1,0,1,25,4,0,79.0,4.0,1.0,1.0,0.0,70,131
2255,027C57EI,0,0,1,1,0,0,15,11,1,63.0,1.0,0.0,1.0,0.0,49,127
2256,664H39WX,0,0,0,0,1,1,15,10,1,67.0,2.0,0.0,1.0,0.0,65,103
2257,182S89IO,0,0,1,0,1,0,15,11,1,86.0,0.0,1.0,1.0,0.0,59,158
2259,715Z81TE,0,0,1,0,0,0,25,10,0,49.0,6.0,0.0,1.0,0.0,69,146
2260,989G69WP,1,0,0,1,0,0,25,3,0,67.0,0.0,1.0,0.0,0.0,48,237
2261,783B53SE,1,0,1,0,0,0,25,7,0,45.0,3.0,0.0,1.0,0.0,66,109
2264,111K10EX,0,0,1,1,0,0,50,4,0,76.0,1.0,1.0,1.0,0.0,61,60
2265,838W64TX,1,0,1,1,0,0,25,3,0,33.0,2.0,0.0,1.0,0.0,66,62
2266,425A68GI,1,1,0,1,0,1,15,3,0,63.0,3.0,1.0,1.0,0.0,59,110
2267,791T38CU,1,0,1,0,1,1,15,8,1,69.0,2.0,1.0,1.0,0.0,72,124
2268,651F73WI,1,0,0,0,1,0,25,9,1,75.0,5.0,1.0,1.0,0.0,64,54
2269,293P77MQ,0,0,1,0,1,1,15,11,1,79.0,1.0,0.0,1.0,0.0,59,150
2270,092L61IU,1,0,0,1,1,0,15,8,1,88.0,0.0,1.0,1.0,0.0,68,85
2271,769A47JR,1,0,0,0,0,1,15,6,1,63.0,0.0,0.0,1.0,0.0,53,41
2272,471Q49LH,1,0,1,0,1,0,15,11,1,78.0,4.0,0.0,1.0,0.0,62,45
2273,150Y29IX,1,0,0,1,1,1,15,4,1,78.0,1.0,1.0,1.0,0.0,54,224
2274,379F80MP,1,1,1,1,1,0,50,9,1,63.0,6.0,1.0,1.0,0.0,46,223
2275,515Z22UL,0,0,0,1,1,1,15,11,1,83.0,0.0,1.0,1.0,0.0,36,62
2276,361L67CZ,1,0,1,1,0,0,25,9,1,73.0,3.0,0.0,1.0,0.0,61,83
2277,587E98LB,1,0,1,0,0,0,25,6,0,78.0,1.0,1.0,1.0,0.0,61,64
2278,761H86YA,0,1,0,0,0,1,15,9,0,72.0,0.0,0.0,1.0,0.0,66,206
2279,716D18TV,0,1,0,1,0,1,15,3,0,52.0,5.0,0.0,1.0,0.0,67,135
2280,249O82CM,0,1,1,0,1,0,15,11,1,68.0,2.0,1.0,1.0,0.0,68,92
2281,693H65GH,0,0,1,1,1,1,50,10,1,59.0,5.0,0.0,1.0,1.0,64,409
2282,778B94CV,0,0,0,0,0,1,15,8,1,77.0,1.0,0.0,1.0,0.0,64,76
2283,064C29QQ,0,1,1,1,0,1,15,6,0,63.0,4.0,1.0,1.0,0.0,65,69
2284,715M17YO,0,1,1,1,0,1,15,5,0,73.0,3.0,0.0,1.0,0.0,43,159
2285,217T89UY,0,1,1,0,0,1,15,11,1,82.0,4.0,0.0,1.0,0.0,58,82
2286,822A04ZM,0,1,1,1,0,1,15,6,0,44.0,4.0,0.0,1.0,0.0,47,236
2288,168I85WE,0,0,1,1,1,0,25,9,1,71.0,6.0,1.0,1.0,0.0,69,63
2291,474D90HJ,0,1,1,0,1,1,15,6,1,63.0,1.0,0.0,0.0,0.0,63,53
2292,188E95YX,0,0,0,1,0,0,15,3,1,51.0,1.0,1.0,1.0,0.0,65,76
2293,348L13IK,1,0,0,0,0,1,15,10,1,80.0,0.0,0.0,1.0,0.0,41,34
2294,279D39QX,1,1,1,1,0,0,25,6,1,63.0,2.0,0.0,1.0,0.0,66,100
2295,749V19HL,1,0,0,0,1,1,15,11,1,58.0,3.0,1.0,1.0,0.0,67,94
2296,346T54FG,1,0,1,0,0,0,15,4,0,57.0,4.0,0.0,1.0,0.0,68,87
2298,888I62ZU,0,1,1,1,1,0,15,11,1,70.0,0.0,1.0,1.0,0.0,67,39
2299,495H39OE,1,1,1,0,0,0,15,5,0,53.0,0.0,0.0,1.0,0.0,35,36
2301,024F57MB,0,1,1,0,1,0,25,16,1,75.0,6.0,1.0,1.0,0.0,68,238
2302,814C88ZX,0,0,0,1,0,0,15,5,0,31.0,4.0,0.0,1.0,0.0,70,34
2303,158R33UQ,0,1,0,1,0,1,50,10,1,68.0,1.0,1.0,1.0,0.0,68,155
2305,104S18KE,0,0,0,1,0,1,15,3,1,57.0,3.0,0.0,1.0,0.0,66,61
2306,391O82RX,1,0,0,1,0,0,25,9,1,73.0,4.0,1.0,1.0,0.0,69,78
2308,009K99LA,1,0,0,1,0,0,15,3,0,79.0,6.0,0.0,1.0,0.0,65,159
2309,469Q98LJ,0,0,0,1,1,1,15,11,1,81.0,1.0,0.0,1.0,0.0,51,67
2310,170X96PT,1,0,1,1,0,0,25,3,0,45.0,4.0,0.0,1.0,0.0,37,35
2311,253A32QN,0,0,0,1,1,1,15,10,1,58.0,1.0,0.0,1.0,0.0,58,82
2312,881M56HR,0,0,1,1,0,0,15,11,1,53.0,6.0,0.0,1.0,0.0,65,181
2313,263G37UW,1,0,1,1,0,0,25,4,0,51.0,1.0,1.0,1.0,0.0,60,33
2315,142Q68UP,0,1,1,1,0,0,25,6,0,38.0,3.0,0.0,1.0,0.0,59,66
2316,571G85YA,1,0,0,0,1,0,15,11,1,87.0,4.0,0.0,1.0,0.0,66,71
2317,015I25GQ,0,1,0,0,0,1,50,11,1,50.0,3.0,1.0,1.0,0.0,69,92
2319,098H37ZQ,0,1,1,1,1,0,15,9,0,57.0,4.0,0.0,1.0,0.0,56,185
2320,584V79SU,0,1,0,1,1,0,25,9,0,75.0,3.0,1.0,1.0,0.0,66,65
2321,895H19SL,0,1,1,1,0,1,25,4,0,63.0,0.0,0.0,1.0,0.0,53,141
2324,693A93PO,1,0,0,0,1,1,25,4,0,54.0,0.0,1.0,1.0,0.0,59,116
2325,201C58OD,0,0,1,1,1,1,50,11,1,50.0,2.0,1.0,1.0,0.0,60,56
2328,092B21AU,1,0,0,1,0,0,15,2,0,71.0,4.0,0.0,1.0,0.0,69,118
2329,785D61QQ,1,0,1,0,0,0,15,3,0,63.0,3.0,0.0,1.0,0.0,43,141
2330,810N85PO,1,0,1,0,0,0,15,3,0,55.0,0.0,0.0,1.0,0.0,61,64
2331,829E69HL,0,1,1,0,1,1,15,4,1,72.0,3.0,1.0,1.0,0.0,70,142
2334,765S05BP,1,0,0,1,0,1,25,4,0,89.0,5.0,1.0,1.0,1.0,52,228
2335,096L34XT,0,0,0,1,1,1,50,6,1,31.0,4.0,0.0,1.0,0.0,66,114
2336,000H80WU,0,0,0,1,0,0,15,3,1,39.0,4.0,1.0,1.0,0.0,68,60
2337,286N39AD,0,1,0,0,1,1,15,4,1,38.0,3.0,0.0,1.0,0.0,61,230
2338,997B91XC,1,1,1,0,0,0,15,6,0,59.0,5.0,0.0,1.0,1.0,58,33
2340,374N38JV,0,1,1,0,0,1,25,6,0,51.0,6.0,0.0,1.0,0.0,75,153
2341,630X05WB,0,0,0,1,0,0,25,6,1,40.0,6.0,1.0,1.0,0.0,59,47
2344,091C15MC,0,1,1,1,1,1,15,8,1,43.0,6.0,1.0,1.0,0.0,58,55
2346,390I01NS,1,0,0,0,0,1,15,4,0,63.0,2.0,1.0,1.0,0.0,71,102
2347,590M96XD,1,0,1,1,0,0,15,3,0,53.0,6.0,0.0,1.0,0.0,62,93
2348,124O87ZU,0,1,1,1,0,1,25,10,1,55.0,0.0,1.0,1.0,0.0,65,40
2349,456Y37AI,1,0,0,1,0,1,25,4,0,50.0,3.0,0.0,1.0,0.0,60,97
2350,093I32IO,0,1,1,1,0,1,15,11,1,63.0,0.0,0.0,1.0,0.0,32,24
2351,601Y47YG,1,0,0,0,1,1,15,6,0,70.0,4.0,0.0,1.0,0.0,62,206
2352,955N57UX,1,1,1,1,0,0,15,9,1,69.0,3.0,1.0,0.0,0.0,65,66
2353,938T58IJ,1,1,1,0,0,1,50,4,0,37.0,1.0,1.0,1.0,0.0,55,61
2354,485T86FQ,0,1,0,1,0,0,15,5,0,83.0,4.0,0.0,1.0,0.0,57,73
2355,047U74RK,0,1,1,1,1,1,15,6,1,35.0,3.0,1.0,1.0,1.0,67,62
2356,391Z04GS,1,0,0,1,0,0,25,6,1,70.0,4.0,0.0,1.0,0.0,52,65
2357,105S88VV,0,0,1,1,0,0,25,6,0,70.0,3.0,0.0,1.0,0.0,42,154
2358,993I13KT,0,1,1,0,1,0,25,6,0,47.0,2.0,0.0,1.0,0.0,73,110
2359,077W59GA,1,0,1,1,0,0,15,3,0,54.0,6.0,0.0,1.0,1.0,58,179
2360,542T03AJ,1,0,1,1,0,0,15,11,1,85.0,6.0,0.0,1.0,0.0,52,129
2361,877R21VV,0,0,1,1,0,0,25,11,0,41.0,3.0,0.0,1.0,0.0,56,79
2363,234S85RB,1,0,1,0,0,0,25,3,0,62.0,6.0,1.0,1.0,0.0,73,161
2364,220Y28PF,0,1,0,1,1,0,25,3,0,62.0,4.0,1.0,1.0,0.0,69,80
2365,342R02TF,0,0,0,1,0,0,15,3,1,44.0,3.0,1.0,1.0,0.0,49,201
2368,002E92KS,0,0,0,1,0,1,15,3,0,83.0,1.0,1.0,1.0,0.0,53,77
2370,780B42JP,0,0,0,1,0,1,15,5,1,40.0,3.0,0.0,1.0,0.0,58,54
2371,778K73RS,0,0,1,1,0,0,15,10,1,74.0,5.0,1.0,1.0,0.0,59,349
2373,541G19KE,1,0,1,1,0,0,15,3,0,47.0,6.0,0.0,1.0,0.0,70,213
2376,541R05PO,0,0,0,0,0,1,15,3,0,85.0,1.0,0.0,1.0,0.0,59,55
2377,093E46MX,0,0,1,0,1,1,15,11,1,64.0,1.0,0.0,1.0,0.0,69,86
2378,087W83DF,1,0,1,1,0,1,15,4,0,45.0,6.0,0.0,1.0,0.0,54,95
2379,669D13QH,1,1,1,1,1,1,15,9,1,81.0,5.0,1.0,1.0,0.0,72,153
2380,638W70FJ,0,0,1,0,0,1,15,9,0,41.0,6.0,1.0,1.0,0.0,68,71
2381,671M67RR,1,0,0,1,0,1,15,11,1,77.0,1.0,1.0,1.0,0.0,65,35
2382,159D76ZA,0,1,0,0,0,1,15,8,1,78.0,3.0,1.0,1.0,0.0,53,55
2383,562K70FB,1,0,0,1,0,1,25,4,1,63.0,4.0,1.0,1.0,0.0,65,71
2386,286Q16LX,0,1,0,0,0,1,25,4,0,63.0,5.0,1.0,1.0,0.0,61,595
2387,720L06LS,0,0,0,0,1,0,25,9,1,75.0,4.0,0.0,1.0,0.0,45,168
2388,374I86QW,0,0,0,1,1,1,25,4,1,37.0,1.0,0.0,1.0,0.0,45,60
2390,029C97SP,1,0,0,0,0,1,15,3,0,48.0,3.0,0.0,1.0,0.0,62,66
2391,737A14US,0,0,1,1,0,0,25,3,1,63.0,2.0,0.0,1.0,0.0,64,59
2394,927X32GU,0,1,1,0,0,1,50,7,1,80.0,4.0,1.0,1.0,0.0,69,125
2395,585L19HX,0,1,1,1,0,0,15,5,0,39.0,2.0,1.0,1.0,0.0,63,83
2396,520D84BO,0,0,0,1,0,1,15,6,0,29.0,1.0,0.0,1.0,0.0,47,178
2398,488S18IF,0,0,0,1,1,1,15,6,1,63.0,1.0,0.0,1.0,0.0,53,52
2399,053G51SB,1,0,1,1,0,0,15,3,0,41.0,5.0,0.0,1.0,0.0,65,119
2401,632T47IQ,0,1,1,1,1,1,25,6,1,44.0,2.0,0.0,1.0,0.0,69,110
2402,812F78ZB,0,0,0,1,0,0,15,7,0,45.0,6.0,1.0,1.0,0.0,75,105
2403,072C41IZ,0,0,0,1,1,1,15,4,1,55.0,4.0,0.0,1.0,0.0,70,78
2405,937L68MM,0,0,1,0,0,1,15,11,1,64.0,2.0,1.0,1.0,0.0,70,67
2406,444Y25AU,1,0,1,1,1,1,15,4,1,50.0,3.0,0.0,1.0,0.0,59,85
2407,955L51IG,1,0,1,1,0,0,25,4,0,63.0,5.0,1.0,1.0,0.0,60,41
2408,744B11PP,1,0,0,1,0,1,15,11,1,63.0,6.0,1.0,1.0,0.0,67,86
2409,295N20VR,1,0,1,1,0,0,15,6,1,76.0,5.0,1.0,1.0,0.0,60,39
2410,019N80IU,1,1,0,1,0,1,15,10,1,60.0,2.0,0.0,1.0,0.0,63,35
2412,981S39VV,1,0,1,0,0,0,15,5,0,39.0,3.0,1.0,1.0,0.0,49,101
2413,927X07SY,1,1,1,0,1,1,25,7,0,63.0,3.0,0.0,1.0,0.0,52,32
2414,868C59KE,0,0,1,1,0,1,15,11,0,63.0,0.0,1.0,1.0,0.0,68,41
2415,915O82CF,0,0,0,1,0,1,15,9,1,63.0,0.0,0.0,1.0,0.0,60,49
2416,184S54TB,0,0,1,0,0,1,25,7,0,33.0,5.0,1.0,1.0,0.0,63,155
2417,320F46BS,1,1,1,1,1,1,15,11,1,64.0,1.0,1.0,1.0,0.0,66,72
2418,848P02TW,1,1,1,1,0,0,15,10,1,80.0,0.0,0.0,1.0,0.0,64,56
2419,594P35QV,0,1,1,0,0,1,15,5,1,88.0,2.0,0.0,1.0,0.0,44,0
2420,327A00PW,0,0,1,0,0,0,15,10,1,82.0,0.0,1.0,1.0,0.0,58,68
2421,699X05RG,0,1,1,1,0,1,15,9,1,49.0,0.0,0.0,1.0,0.0,53,59
2423,735O37OF,1,0,0,1,0,0,25,8,0,56.0,4.0,1.0,1.0,0.0,7,48
2426,584G50IE,0,0,1,0,1,1,15,10,1,87.0,1.0,0.0,1.0,0.0,35,153
2427,471A15PF,0,1,0,1,1,1,15,6,0,63.0,2.0,0.0,1.0,0.0,45,48
2428,752T98CK,1,0,0,1,0,0,15,6,1,37.0,6.0,0.0,1.0,0.0,61,242
2429,740Z88GN,1,0,1,1,0,0,15,3,0,79.0,6.0,1.0,1.0,0.0,0,0
2430,402A35KI,1,0,0,0,1,0,25,4,0,36.0,4.0,0.0,1.0,0.0,60,68
2431,858N30BV,0,1,1,1,0,0,25,10,1,51.0,5.0,0.0,1.0,0.0,68,482
2432,913R85OO,0,1,1,0,1,1,15,6,1,58.0,5.0,1.0,1.0,0.0,69,136
2433,763B56XK,0,0,1,0,0,1,25,9,0,59.0,5.0,0.0,1.0,0.0,61,117
2434,885O84FV,0,0,1,1,1,0,25,10,0,48.0,4.0,1.0,1.0,0.0,69,58
2435,268L33OI,1,0,1,0,0,0,50,3,0,65.0,3.0,1.0,1.0,0.0,42,190
2437,081J26HD,0,1,1,1,1,1,50,9,1,63.0,0.0,1.0,1.0,0.0,60,73
2438,404C08XC,1,1,0,0,1,1,25,5,0,71.0,1.0,0.0,1.0,0.0,43,169
2440,124Z15KJ,1,0,0,1,0,0,15,3,0,79.0,4.0,0.0,1.0,0.0,48,77
2441,928U06NM,1,0,0,0,0,1,15,3,0,67.0,3.0,0.0,1.0,0.0,64,53
2442,621T48WI,0,1,1,1,1,1,25,3,0,65.0,4.0,0.0,1.0,0.0,63,67
2444,198O11YA,0,0,0,1,1,1,15,11,1,76.0,4.0,0.0,1.0,0.0,52,111
2445,045S23IG,1,0,0,1,0,0,15,11,1,59.0,3.0,0.0,1.0,0.0,63,42
2446,456H44YS,1,0,1,1,0,1,15,8,1,68.0,4.0,0.0,1.0,0.0,46,60
2448,622S18XV,1,1,1,0,0,1,15,6,1,63.0,1.0,1.0,1.0,0.0,75,85
2449,563F78WF,0,0,0,1,1,1,15,11,1,63.0,1.0,0.0,1.0,0.0,67,60
2450,197S73CT,0,0,1,1,0,1,15,6,1,63.0,2.0,0.0,1.0,0.0,68,76
2451,290X30FN,0,0,0,1,0,0,25,5,0,72.0,3.0,0.0,1.0,0.0,56,51
2453,618D91HA,0,0,0,0,0,1,25,10,1,40.0,4.0,1.0,1.0,0.0,46,97
2454,022L90HS,0,0,0,0,0,1,15,9,1,71.0,1.0,1.0,1.0,0.0,58,55
2455,234B70PF,1,0,1,0,0,0,25,3,0,61.0,2.0,0.0,1.0,2.0,68,100
2456,234N47UW,0,0,0,1,0,1,25,11,1,55.0,4.0,0.0,1.0,0.0,53,37
2457,318P54OO,1,0,1,1,0,0,15,3,0,63.0,2.0,0.0,1.0,0.0,62,49
2458,446L22OF,1,1,1,0,0,0,15,10,1,56.0,4.0,0.0,1.0,0.0,42,67
2459,905F34MO,0,0,0,1,1,1,15,10,1,77.0,4.0,0.0,1.0,0.0,42,138
2461,584W66EO,0,0,1,0,0,1,25,4,0,64.0,6.0,0.0,1.0,0.0,60,70
2463,640P34JW,0,1,0,0,1,1,15,11,1,58.0,4.0,0.0,1.0,0.0,61,61
2464,372X29XN,1,0,1,1,0,0,15,3,0,48.0,4.0,1.0,1.0,0.0,56,382
2465,335R08EG,1,0,1,1,0,1,25,3,0,31.0,4.0,0.0,1.0,0.0,78,133
2467,543U56OZ,0,0,0,0,1,0,25,11,0,79.0,1.0,0.0,1.0,0.0,68,41
2468,575M16XC,0,0,0,1,0,0,15,3,0,49.0,4.0,0.0,1.0,0.0,63,89
2470,694W49EP,0,0,1,0,0,0,15,9,1,57.0,4.0,1.0,1.0,0.0,62,108
2472,692L22JB,1,0,0,0,0,1,15,8,0,71.0,1.0,1.0,1.0,0.0,67,111
2473,667T98XV,1,0,0,0,1,1,50,6,1,79.0,5.0,0.0,1.0,0.0,67,200
2474,377M79BO,1,1,1,1,0,1,15,3,0,49.0,4.0,1.0,1.0,0.0,38,78
2475,586V83BN,1,0,0,1,1,1,15,12,1,68.0,1.0,0.0,1.0,0.0,59,58
2476,885P17TZ,0,1,0,1,1,0,25,9,1,46.0,0.0,1.0,1.0,0.0,64,67
2477,134R59OG,1,0,1,1,0,0,50,3,0,75.0,1.0,0.0,1.0,0.0,64,56
2478,017T75LQ,1,0,1,1,0,0,15,4,0,33.0,1.0,1.0,1.0,0.0,61,54
2479,864M56MW,0,0,0,1,0,0,15,3,0,63.0,2.0,1.0,1.0,0.0,70,83
2481,628J15PY,1,0,1,1,0,1,25,10,1,88.0,2.0,1.0,1.0,0.0,50,66
2482,951P22AK,0,0,1,1,1,0,25,4,1,49.0,4.0,1.0,1.0,0.0,33,34
2483,348N51TD,0,0,0,1,1,1,15,6,1,59.0,1.0,1.0,1.0,1.0,77,147
2484,755J15EJ,0,0,0,1,1,0,15,4,1,72.0,1.0,0.0,1.0,0.0,71,60
2485,189S21FC,1,0,0,1,0,0,15,3,0,48.0,6.0,0.0,1.0,0.0,66,171
2486,544P22QF,0,1,0,1,1,1,15,11,1,77.0,3.0,1.0,1.0,0.0,65,51
2487,992M04WN,1,0,1,0,0,0,15,5,0,42.0,4.0,0.0,1.0,0.0,28,117
2488,193V52ZJ,1,0,1,0,1,0,15,9,1,80.0,1.0,0.0,1.0,0.0,60,89
2489,982H99QP,0,1,1,0,0,1,15,7,1,40.0,1.0,0.0,1.0,0.0,66,171
2490,050D77AF,0,1,0,1,0,1,15,8,1,43.0,3.0,1.0,1.0,0.0,60,57
2491,266B65VG,0,0,1,1,0,1,15,6,1,40.0,0.0,1.0,1.0,0.0,75,101
2492,800D76EU,1,0,0,1,0,0,50,3,0,67.0,3.0,1.0,1.0,0.0,63,407
2493,431I37IC,1,1,1,1,0,0,25,3,0,49.0,6.0,0.0,1.0,0.0,64,76
2495,703X45KK,1,0,1,0,0,1,25,4,0,63.0,1.0,0.0,1.0,0.0,41,78
2496,485D20CR,1,1,1,1,1,1,25,10,1,60.0,3.0,0.0,1.0,0.0,62,113
2497,835B71HY,0,0,0,1,0,0,15,6,0,85.0,1.0,0.0,1.0,0.0,54,38
2498,421S80GE,0,0,0,0,1,1,15,7,0,83.0,0.0,1.0,1.0,0.0,64,47
2499,786P79NN,0,0,0,0,0,1,25,10,1,73.0,2.0,1.0,1.0,0.0,61,39
2500,660P24DG,0,1,0,1,0,0,25,7,1,56.0,2.0,1.0,1.0,0.0,67,126
2501,825E49KK,0,0,0,1,1,1,15,11,1,64.0,5.0,1.0,1.0,0.0,55,92
2502,530L33XH,1,0,1,1,0,0,15,3,0,67.0,6.0,0.0,1.0,0.0,65,354
2503,290C42ML,1,1,1,0,0,1,25,9,1,76.0,3.0,1.0,1.0,0.0,67,82
2504,308B12YU,0,0,1,1,0,0,15,7,1,52.0,0.0,0.0,1.0,0.0,49,65
2505,645O12LA,0,1,0,1,0,1,15,10,1,54.0,2.0,0.0,1.0,0.0,71,79
2507,863E59LL,0,0,1,1,0,1,15,11,1,78.0,5.0,1.0,1.0,0.0,61,67
2508,711U14NB,0,0,0,1,1,1,15,9,1,73.0,0.0,0.0,1.0,0.0,54,47
2509,051F17AD,0,0,1,1,1,1,25,9,1,68.0,4.0,0.0,1.0,0.0,49,137
2510,154V33MW,1,0,1,0,0,0,15,5,0,80.0,1.0,0.0,1.0,0.0,61,51
2511,747M02MF,0,0,0,1,0,0,15,9,1,70.0,1.0,0.0,1.0,0.0,56,60
2512,950V94GM,1,0,0,0,0,1,15,7,0,87.0,0.0,0.0,1.0,0.0,69,31
2513,929U24YO,0,0,0,0,0,1,25,10,1,41.0,1.0,0.0,1.0,0.0,54,78
2514,665T37CH,0,1,1,1,0,1,15,9,0,53.0,6.0,1.0,1.0,0.0,68,270
2515,497Z70DQ,0,0,0,0,0,1,15,8,0,69.0,1.0,1.0,1.0,0.0,82,190
2516,144A54PG,1,0,0,0,1,1,15,9,1,37.0,1.0,1.0,1.0,0.0,54,57
2517,181Z42ZX,1,0,0,1,0,0,15,3,0,80.0,4.0,0.0,1.0,0.0,69,100
2518,392G14IP,0,0,1,1,1,0,15,5,1,63.0,2.0,1.0,1.0,0.0,64,53
