yearID,teamID,Rank,R,RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
2003,SDN,5,678,831,162,64,1442,565,57,5531,42,128,257,32,45210000,0.260712349,0.333171913,0.388175737
2004,MIN,1,780,715,162,92,1494,513,64,5623,40,191,310,24,53585000,0.265694469,0.331891026,0.43126445
2004,CHA,2,865,831,162,83,1481,499,63,5534,42,242,284,19,65212500,0.267618359,0.332844575,0.456993133
2004,CLE,3,858,857,162,80,1565,606,78,5676,42,184,345,29,34319300,0.27572234,0.35129647,0.44397463
2004,DET,4,827,844,162,72,1531,518,50,5623,43,201,284,54,46832000,0.272274587,0.336701957,0.449226392
2004,KCA,5,720,905,162,58,1432,461,76,5538,38,150,261,29,47609000,0.258577104,0.322100442,0.397435897
2004,NYA,1,897,808,162,101,1483,670,80,5527,50,242,281,20,184193950,0.26831916,0.352931879,0.45775285
2004,BOS,2,949,768,162,98,1613,659,69,5720,55,222,373,25,127298500,0.281993007,0.359987698,0.472377622
2004,BAL,3,842,830,162,78,1614,528,57,5736,62,169,319,18,51623333,0.281380753,0.344508852,0.431659693
2004,TBA,4,714,842,161,70,1416,469,55,5483,56,145,278,46,29556667,0.258252781,0.31997361,0.405070217
2004,TOR,5,719,823,161,67,1438,513,71,5531,42,145,290,34,50017000,0.259989152,0.328406692,0.403362864
2004,ANA,1,836,734,162,92,1603,450,73,5675,41,162,272,37,100534667,0.28246696,0.340759737,0.42907489
2004,OAK,2,793,742,162,91,1545,608,55,5728,43,189,336,15,59425667,0.269727654,0.343176873,0.432611732
2004,TEX,3,860,794,162,89,1492,500,61,5615,57,227,323,34,55050417,0.26571683,0.329375902,0.456634016
2004,SEA,4,698,823,162,63,1544,492,54,5722,48,136,276,20,81515834,0.269835722,0.330905636,0.396364907
2004,SLN,1,855,659,162,105,1544,548,51,5555,70,214,319,24,83228333,0.277947795,0.344312339,0.459585959
2004,HOU,2,803,698,162,92,1458,590,61,5468,52,187,294,36,75397000,0.266642282,0.341759844,0.436174104
2004,CHN,3,789,665,162,89,1508,489,38,5628,48,235,308,29,90560000,0.267945984,0.328067064,0.458244492
2004,CIN,4,750,907,162,76,1380,599,81,5518,25,194,287,28,46615250,0.250090613,0.33103005,0.417723813
2004,PIT,5,680,744,161,72,1428,415,95,5483,42,142,267,39,32227929,0.260441364,0.321126761,0.401057815
2004,MIL,6,634,757,161,67,1358,540,68,5483,40,135,295,32,27528500,0.247674631,0.320665471,0.387014408
2004,ATL,1,803,668,162,96,1503,587,59,5570,48,178,304,37,90182500,0.26983842,0.34307152,0.433572711
2004,PHI,2,840,781,162,86,1505,645,58,5643,46,215,303,23,92919167,0.266702109,0.34543179,0.442849548
2004,FLO,3,718,700,162,83,1447,499,58,5486,40,148,275,32,42143042,0.263762304,0.329442709,0.406489245
2004,NYN,4,684,731,162,71,1376,512,61,5532,34,185,289,20,96660970,0.248734635,0.317478417,0.408532176
2004,MON,5,635,769,162,67,1361,496,35,5474,33,151,276,27,40897500,0.248629887,0.313348791,0.391669711
2004,LAN,1,761,684,162,93,1450,536,62,5542,35,203,226,30,92902001,0.261638398,0.331659919,0.423132443
2004,SFN,2,850,770,162,91,1500,705,72,5546,51,183,314,33,82019166,0.2704652,0.357232507,0.437973314
2004,SDN,3,768,705,162,87,1521,566,56,5573,66,139,304,32,55384833,0.272923022,0.342277591,0.413780729
2004,COL,4,833,923,162,68,1531,568,54,5577,37,202,331,34,65445167,0.274520351,0.345253368,0.454724762
2004,ARI,5,615,899,162,51,1401,441,35,5544,37,135,295,38,69780750,0.252705628,0.309889384,0.392676768
2005,CHA,1,741,645,162,99,1450,435,79,5529,49,200,253,23,75178000,0.262253572,0.32239002,0.424850787
2005,CLE,2,790,642,162,93,1522,503,54,5609,50,207,337,30,41502500,0.271349617,0.334459459,0.452843644
2005,MIN,3,688,662,162,83,1441,485,59,5564,42,134,269,32,56186000,0.258986341,0.322764228,0.39108555
2005,DET,4,723,787,162,71,1521,384,53,5602,52,168,283,45,69092000,0.271510175,0.321457889,0.428061407
2005,KCA,5,701,935,162,56,1445,424,63,5503,50,126,289,34,36881000,0.262584045,0.31986755,0.396147556
2005,NYA,1,886,789,162,95,1552,637,73,5624,43,229,259,16,208306817,0.275960171,0.354712247,0.449857752
2005,BOS,2,910,805,162,95,1579,653,47,5626,63,199,339,21,123505125,0.280661216,0.35670684,0.454496978
2005,TOR,3,775,705,162,80,1480,486,89,5581,56,136,307,39,45719500,0.265185451,0.330811333,0.407274682
2005,BAL,4,729,800,162,74,1492,447,54,5551,42,189,296,27,73914333,0.2687804,0.327042993,0.43397586
2005,TBA,5,750,936,162,67,1519,412,69,5552,51,157,289,40,29679067,0.273595101,0.328731098,0.424891931
