FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,PCTMARR,HOMEVAL
061O32ZU,0,0,1,1,0,1,15,7,1,82,2,1,1,66,104
087N29PH,1,0,0,1,0,0,25,3,0,57,4,1,1,52,45
729K31YH,0,0,1,1,1,1,15,3,0,54,0,0,1,60,93
059H10KM,1,0,1,1,0,1,15,7,1,38,3,1,1,50,28
843O36EQ,1,0,0,1,1,1,15,10,1,66,0,0,1,61,51
772K89LM,0,1,1,0,0,0,15,5,0,33,4,1,1,45,216
584Z47IE,0,0,1,0,1,0,15,10,0,48,5,0,1,67,98
809I06VL,1,0,0,1,0,0,25,9,1,71,0,0,1,18,40
906J13QA,0,0,1,0,1,0,15,9,0,49,3,1,1,53,147
881W43YW,0,0,1,1,0,1,15,5,0,54,5,0,1,50,93
197X26JF,0,0,0,1,1,1,25,5,1,63,1,1,1,65,78
340Z24TT,0,0,0,1,0,1,15,6,1,56,5,0,1,66,87
605B63PM,0,0,1,1,1,1,50,9,0,50,4,0,1,75,132
089C77HN,0,0,0,1,0,0,15,11,1,85,2,0,1,59,63
521B96GH,1,0,1,1,0,0,15,9,1,68,2,1,1,62,64
194A45OJ,0,0,0,1,0,1,25,3,1,82,2,1,1,65,105
248K72HB,0,1,0,1,1,1,15,11,1,65,6,0,1,71,246
525W15QT,0,0,0,1,0,0,15,4,1,27,3,0,1,52,113
868O73GX,0,0,1,1,0,0,25,3,0,50,3,1,1,71,103
021M77JW,1,1,1,0,0,0,50,4,0,45,4,0,1,51,69
938Q51SM,1,0,1,1,0,0,15,3,0,53,4,1,1,47,62
225J34SE,1,0,1,0,1,1,15,6,1,60,1,1,1,58,107
072U08ID,0,0,0,1,0,1,15,3,1,67,0,0,1,68,38
182G33CH,0,0,1,1,0,0,25,6,1,54,0,1,1,54,68
077C89EG,1,0,0,1,0,0,15,3,0,32,3,0,1,48,70
535J55CI,1,0,0,1,0,0,15,3,0,67,3,0,1,52,159
458F24XJ,1,1,0,1,1,0,15,11,1,77,1,0,1,73,42
920T29UD,1,0,1,1,0,0,15,3,0,51,5,0,1,52,52
030O08TH,0,0,0,1,0,1,15,6,1,84,4,0,1,48,105
464T30XD,1,1,1,0,1,1,15,10,1,46,5,0,1,58,194
187T76IR,0,0,1,0,1,1,15,7,1,72,3,0,1,89,78
157J04DP,1,0,1,1,0,0,15,3,0,49,3,0,1,66,38
768L39QL,1,0,0,0,0,1,15,11,1,63,6,0,1,60,189
600Z72WU,0,0,0,1,0,1,25,7,1,76,6,0,1,35,144
554T49DV,1,1,0,0,1,0,25,6,1,53,4,0,1,33,58
873E07YM,1,0,0,1,1,1,25,6,0,64,3,1,1,47,73
007P61BQ,1,0,1,0,0,0,15,3,0,53,5,1,1,78,179
146F36PH,0,0,1,1,0,1,15,11,0,73,1,0,1,30,43
996R73TA,0,0,1,1,0,1,15,8,1,33,6,1,1,50,44
642Z15BP,0,0,0,1,0,0,15,3,1,55,4,1,1,50,297
983Y20DX,1,0,1,0,0,0,25,3,0,44,4,1,1,55,137
841I60WX,1,1,1,1,0,0,15,5,0,83,2,1,1,40,53
134X10TK,0,0,1,1,0,0,25,11,0,40,1,0,1,68,69
876I82MN,1,0,1,1,0,0,15,3,0,39,2,0,1,60,78
413C67ZG,0,1,1,0,0,0,15,3,0,63,4,0,1,69,57
044W69NS,0,1,1,0,0,1,15,10,1,45,6,0,1,72,140
128K31EH,1,0,0,1,0,0,25,11,1,63,0,0,0,62,38
945B45JD,0,1,0,1,0,1,15,5,0,44,6,1,1,71,126
047B95AA,0,0,1,1,0,1,25,7,0,42,4,0,1,71,142
164E32PL,0,0,0,0,1,1,15,6,1,72,1,1,1,54,114
750P75JP,0,0,1,1,0,0,15,3,1,67,1,0,1,59,44
321R22FK,0,0,0,0,0,1,25,10,1,47,3,0,1,76,97
044I31WI,0,0,1,1,0,0,15,4,0,77,4,1,1,50,207
385E27SU,1,1,0,0,0,0,25,10,1,48,3,0,1,64,314
486S65NL,1,0,0,1,0,0,50,3,0,63,1,1,1,54,55
587A40PJ,0,1,1,0,0,0,25,4,0,69,4,1,1,50,248
652D38XH,1,0,0,0,1,1,15,5,0,49,2,1,1,63,52
440P39VO,1,0,1,0,0,0,15,4,1,63,2,1,1,65,66
987N78UE,1,0,0,0,0,1,25,3,0,84,1,0,1,70,106
038Y38TO,0,0,1,0,0,0,25,10,1,76,2,0,1,71,61
347C52KI,0,0,1,1,0,1,50,6,0,51,0,1,1,61,82
492G36OQ,0,0,0,1,0,0,15,3,0,28,2,1,1,61,49
623I42SG,1,0,1,0,1,1,15,6,1,84,1,0,1,62,73
772R57WH,1,1,0,0,0,1,25,8,1,51,4,0,1,63,77
878E26MB,0,0,1,1,0,0,50,10,1,90,1,0,1,67,64
364J60LM,0,0,0,1,1,1,15,5,1,87,0,0,1,55,54
183D24RQ,0,0,1,1,0,1,50,6,0,89,4,0,1,75,67
240J56YJ,0,1,1,1,0,1,15,3,1,67,1,1,1,63,51
496F77RT,0,1,1,0,0,0,25,8,0,55,4,1,1,70,141
889E56BH,1,0,1,0,0,1,25,4,0,73,4,1,1,54,62
661V70SI,1,0,0,0,1,1,25,9,0,93,4,1,1,56,102
205G72VF,0,1,0,0,1,1,15,10,1,90,3,0,1,62,64
937K21DB,1,0,1,0,0,0,15,3,0,53,4,1,1,61,160
591G93HT,1,1,1,1,0,0,15,11,1,75,5,0,1,70,75
612R54IE,1,1,1,1,1,1,15,9,1,78,1,0,1,76,239
696Q97TZ,0,0,1,1,0,1,25,3,0,50,3,1,1,56,136
585S99IU,1,0,0,1,0,0,50,11,1,63,5,1,1,75,333
307Q95RQ,1,0,1,0,0,1,25,8,0,65,0,1,1,67,293
904Y63AQ,1,1,1,1,1,0,15,10,1,48,1,1,1,52,40
277K66CP,1,0,0,1,0,0,25,6,0,93,0,1,1,67,123
116G54FB,1,0,0,0,0,1,25,11,1,71,6,0,1,58,304
397P51GR,0,1,0,0,0,0,25,3,0,63,4,1,1,60,90
873Z48SY,0,1,1,0,0,1,15,9,1,83,1,1,1,49,35
086U69UW,1,0,0,0,0,1,15,3,0,39,4,0,1,26,440
219O28PU,0,1,1,0,0,1,25,3,0,45,4,0,1,49,59
470H58OC,0,0,1,1,0,1,15,3,0,45,3,0,1,55,83
389T02MP,0,0,1,0,0,1,15,11,1,79,1,1,1,56,39
967V51PS,0,1,1,1,0,0,15,4,0,78,2,1,1,49,100
001V28PU,1,0,0,1,0,0,25,3,0,59,1,0,1,48,110
977B25CR,0,1,1,0,1,0,50,7,1,83,1,1,1,52,55
979R84QB,1,1,1,0,0,1,15,9,1,41,6,0,1,76,118
344Z73BO,1,1,1,1,0,0,15,5,0,58,1,0,1,66,72
029K98OT,1,0,0,1,0,0,25,3,0,77,5,0,1,43,570
450G07ZB,0,1,1,0,0,1,15,10,1,67,5,1,1,58,142
782E28SQ,1,1,1,0,0,1,25,4,0,63,1,0,1,60,91
452O22KP,0,0,0,1,0,0,15,6,0,64,0,0,1,67,273
967B18DI,1,0,1,1,0,0,15,3,0,49,4,1,1,61,90
770W82UW,0,0,0,1,0,0,15,5,0,61,6,1,1,69,119
648H56XK,1,1,1,1,0,0,15,3,1,30,4,1,1,67,58
515F25WA,1,0,0,1,1,0,15,7,0,87,1,0,1,63,58
535R01GS,0,0,1,1,0,1,15,9,1,74,1,1,1,51,35
510O69RO,1,1,1,0,0,1,15,11,1,41,2,0,1,73,71
556O65GR,1,1,0,0,0,1,50,6,0,40,6,1,1,70,222
728E23LY,1,0,0,0,0,1,50,9,0,82,0,1,1,25,117
657F20QI,0,1,0,1,0,0,15,3,0,72,4,1,1,67,72
159M10PA,1,0,0,1,0,0,15,3,0,63,1,0,1,65,50
700C96ES,0,0,0,1,0,0,25,8,1,63,1,1,1,37,64
142R48XF,0,1,1,0,0,1,15,3,1,67,0,0,1,61,80
531U78CT,0,1,1,1,1,1,15,8,1,77,1,1,1,65,61
338V55MI,1,0,1,1,1,0,15,9,1,80,0,0,1,61,94
646D37XO,1,0,0,1,0,0,15,3,0,63,1,1,1,64,83
954L21QU,1,0,1,1,0,0,15,3,0,21,2,0,1,62,51
885P85MD,1,0,1,1,0,0,15,3,0,45,4,0,1,59,86
127M82XV,0,1,1,0,1,0,15,7,1,61,5,0,1,56,79
482R84JK,0,0,1,1,1,0,15,9,1,74,2,1,1,62,88
089Y43LA,0,0,0,1,1,0,15,4,1,40,4,0,1,70,79
288O94UP,0,1,1,0,1,0,50,4,0,38,4,1,1,63,227
488Z01BQ,1,0,0,1,0,0,15,3,0,51,5,0,1,59,223
980J78AO,1,0,1,0,0,1,15,3,0,32,0,0,1,66,66
466I37OM,0,1,1,1,0,0,15,5,0,43,2,1,1,71,58
598H78GZ,1,0,1,1,0,0,25,3,0,44,4,0,1,67,102
083R92PR,1,0,0,1,0,1,15,11,1,76,3,1,1,31,459
