FAKEID,Y2defect,Y1G5,Y1G4,Y1G3,Y1G2,Y1G1,Y1price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,PCTMARR,HOMEVAL
954L21QU,1,0,1,1,0,0,15,3,0,21,2,0,1,62,51
885P85MD,1,0,1,1,0,0,15,3,0,45,4,0,1,59,86
127M82XV,0,1,1,0,1,0,15,7,1,61,5,0,1,56,79
482R84JK,0,0,1,1,1,0,15,9,1,74,2,1,1,62,88
067F27YG,1,0,1,0,0,0,15,3,0,63,3,0,0,62,58
089Y43LA,0,0,0,1,1,0,15,4,1,40,4,0,1,70,79
288O94UP,0,1,1,0,1,0,50,4,0,38,4,1,1,63,227
004B15YJ,0,1,1,1,1,1,15,10,1,63,3,0,0,49,208
228P67AV,1,0,0,1,1,1,25,11,1,69,3,0,0,57,45
488Z01BQ,1,0,0,1,0,0,15,3,0,51,5,0,1,59,223
980J78AO,1,0,1,0,0,1,15,3,0,32,0,0,1,66,66
466I37OM,0,1,1,1,0,0,15,5,0,43,2,1,1,71,58
598H78GZ,1,0,1,1,0,0,25,3,0,44,4,0,1,67,102
083R92PR,1,0,0,1,0,1,15,11,1,76,3,1,1,31,459
094S05VJ,0,0,1,1,1,0,50,6,0,69,3,1,1,38,103
978J99AM,0,1,0,0,1,0,25,3,0,63,2,1,1,63,87
155Y81ZZ,0,1,0,0,0,1,50,3,1,63,3,0,0,64,132
888J18YK,1,0,0,1,0,0,15,7,1,56,5,1,1,68,147
253Q91WG,1,0,0,0,1,0,25,6,0,77,3,1,1,57,56
885F84TT,0,0,1,0,0,0,25,8,0,60,3,1,0,0,0
900R77TL,0,0,0,1,0,1,25,3,0,45,4,1,1,61,107
714N64CU,1,0,0,1,0,0,15,8,1,63,3,1,0,70,69
366C01DQ,1,1,0,0,0,1,15,6,1,46,3,0,0,69,74
932Z08AU,1,0,1,1,0,0,15,3,0,39,5,1,1,64,394
018W43XV,1,0,1,1,1,1,15,7,1,63,3,1,0,19,138
049V67VP,1,1,1,0,0,0,15,6,0,40,4,1,1,63,45
820P90XQ,0,1,1,0,0,1,25,11,1,63,3,0,0,54,116
031N30AZ,0,0,0,1,0,0,50,5,0,38,4,1,1,53,236
439H69AP,1,0,1,1,0,0,15,3,0,63,3,0,0,68,68
299R03WT,0,0,1,0,0,1,15,8,1,61,3,1,1,70,92
473E20LI,0,0,1,0,0,1,15,6,1,63,3,0,0,64,106
582Y25YE,0,0,0,1,0,0,15,6,0,44,2,1,1,63,55
982K96PP,1,0,0,1,1,1,15,10,1,76,3,1,0,68,56
032M03BV,1,0,0,0,1,0,15,7,1,88,3,0,0,59,122
839U47LV,1,0,0,0,1,1,15,6,1,79,3,1,0,65,173
181L37UX,1,1,1,0,0,1,25,4,0,63,3,1,1,57,108
825W10DY,0,0,1,1,0,1,25,3,0,52,4,1,1,61,52
218T67JV,0,0,0,1,1,0,25,6,1,78,3,1,0,80,365
221S60IM,0,1,0,1,1,1,50,10,0,85,4,0,1,54,53
750G23ZI,1,1,1,1,0,0,15,4,0,65,4,0,1,44,293
818Q01PK,0,0,1,1,0,0,15,11,1,76,6,0,1,56,207
600B50TQ,1,0,1,0,0,0,25,7,0,38,3,0,1,65,81
263V61FB,1,0,0,1,0,0,15,2,0,49,3,0,1,51,63
838N24FW,1,0,0,1,0,0,15,3,0,49,3,0,1,63,51
315L38IG,0,0,0,1,0,0,15,10,0,68,3,1,0,49,42
640Z27JH,1,0,0,1,0,0,15,6,1,62,3,0,0,59,56
987Q30OF,0,0,1,0,1,0,25,10,1,43,3,0,0,70,571
261Z47YR,0,0,0,0,1,1,15,11,1,75,0,0,1,29,35
567Q24WX,1,1,1,1,0,0,15,5,0,81,1,0,1,60,59
128N31UQ,0,0,0,1,0,0,15,3,1,36,3,1,0,60,126
013M75RU,1,1,1,0,1,1,25,8,0,56,1,0,1,29,115
688R75TW,0,0,0,1,0,1,15,4,1,86,3,1,0,68,402
632T12PP,0,1,1,1,0,0,50,4,1,40,3,0,0,53,189
537T83CZ,1,1,1,0,0,0,15,6,1,72,0,0,1,45,0
369L52VQ,0,1,1,0,0,1,15,6,1,63,1,1,1,53,73
979J91WS,1,0,1,1,0,0,15,3,0,45,4,1,1,56,50
153K54FT,1,0,0,1,0,0,15,2,0,63,0,0,1,72,52
215G33LC,0,0,0,1,1,1,15,11,1,72,4,0,1,67,85
275I77RA,0,1,0,1,0,1,15,7,1,81,3,1,1,71,113
891T68KM,0,1,1,0,1,0,50,5,1,51,4,1,1,71,103
813C49UD,0,0,0,0,1,1,15,7,1,70,3,1,0,44,107
080H10ZO,0,1,1,1,0,1,25,11,1,81,0,0,1,58,81
884G01FA,0,1,1,0,1,0,25,6,0,56,3,1,0,70,70
361X46MD,1,0,0,1,0,0,15,4,0,63,2,0,1,54,54
311V10AL,1,0,1,0,0,0,25,6,0,71,0,1,1,59,31
040Y26TG,1,0,0,1,0,0,15,3,0,85,1,1,1,52,67
630J04IM,1,1,0,0,0,1,25,5,1,37,3,0,0,68,48
673K30GJ,1,0,1,1,1,0,15,7,1,77,1,1,1,62,62
747C50KS,1,0,0,1,0,0,25,18,0,71,3,1,1,70,146
383J37VE,0,1,0,0,1,1,25,6,0,63,2,0,1,69,55
427Q59ZO,0,0,0,1,0,0,25,9,0,40,4,0,1,61,102
869U80RX,1,0,0,1,0,0,15,6,0,49,3,0,1,63,55
556D95TV,0,1,1,1,0,1,15,10,1,75,4,1,1,56,88
939K60DQ,0,0,0,1,0,1,50,4,0,63,3,1,0,27,152
077B59CI,1,0,1,1,0,0,15,3,0,37,3,1,1,66,97
632M86NK,1,1,1,1,0,1,25,4,0,47,1,1,1,61,121
981I04YY,1,1,0,1,0,1,25,11,1,81,1,0,1,63,53
575P45NV,1,1,1,1,0,1,15,7,1,60,3,0,0,65,44
979P95BI,0,1,1,0,0,1,15,3,1,83,0,0,1,41,76
866Q90DC,0,0,0,1,0,1,15,5,0,49,4,1,1,71,81
595E73IR,0,0,1,0,1,1,15,7,1,71,2,0,1,76,82
645F14ZS,1,0,0,1,1,1,25,9,1,63,6,0,1,52,273
539N45IF,0,0,0,1,0,1,15,5,1,63,0,0,1,38,124
933S50ZR,1,0,0,1,0,0,25,2,0,63,3,0,0,24,285
287P45ED,1,0,0,1,0,0,25,2,0,63,1,0,1,34,49
599I95EF,0,0,1,1,0,0,25,2,0,63,2,1,1,63,86
523M96NQ,0,0,0,0,1,1,15,7,1,63,3,1,1,49,76
052R51LB,0,1,0,0,0,0,15,5,0,62,4,1,1,65,71
387B84PA,0,0,1,1,0,1,15,6,0,66,1,1,1,66,93
201L42RC,1,0,1,0,0,1,25,7,0,86,3,1,0,9,0
073F25CI,0,1,1,1,0,1,25,10,1,50,4,0,1,68,72
175F37SF,0,0,1,0,0,0,25,5,1,59,5,1,1,58,102
509J39XW,1,0,1,1,0,0,15,3,0,67,2,0,1,64,47
773R66EE,0,0,1,1,0,0,15,3,1,37,5,1,1,55,144
069V93TP,0,0,1,1,0,1,50,7,1,63,3,1,0,41,58
