Source,Target,Type,id,label,timeset,weight
d789s101112,OldKanStudios,Directed,397,,,1.0
jemandboo63,Variety,Directed,398,,,1.0
jemandboo63,LifetimeTV,Directed,399,,,1.0
HamiltonLeaetta,Variety,Directed,400,,,1.0
HamiltonLeaetta,LifetimeTV,Directed,401,,,1.0
JoshX1993,Disney,Directed,402,,,1.0
JoshX1993,BridgetCarey,Directed,403,,,1.0
JoshX1993,CNET,Directed,404,,,1.0
RekoMnd,pencilphilos,Directed,405,,,1.0
phoeebtonkin,Variety,Directed,406,,,1.0
phoeebtonkin,GalGadot,Directed,407,,,1.0
phoeebtonkin,PattyJenks,Directed,408,,,1.0
phoeebtonkin,lifetimetv,Directed,409,,,1.0
quantum_pa,davegrey,Directed,410,,,1.0
19skid97,primemeridian_,Directed,411,,,1.0
Navinpraveen93,Variety,Directed,412,,,1.0
Navinpraveen93,GalGadot,Directed,413,,,1.0
Navinpraveen93,PattyJenks,Directed,414,,,1.0
Navinpraveen93,lifetimetv,Directed,415,,,1.0
ohawaffle,DaveOFlanagan,Directed,416,,,1.0
efroster123,BatmanNewsCom,Directed,417,,,1.0
Divamarlene70,DespicableMe,Directed,418,,,1.0
Divamarlene70,Divamarlene70,Directed,419,,,1.0
drewtewksbury,whoshotyapod,Directed,420,,,1.0
drewtewksbury,RickyCarmona,Directed,421,,,1.0
drewtewksbury,AWolfeful,Directed,422,,,1.0
drewtewksbury,TheDreaClark,Directed,423,,,1.0
thetalentguru,Variety,Directed,424,,,1.0
thetalentguru,LifetimeTV,Directed,425,,,1.0
FlipMillarBurns,Variety,Directed,426,,,1.0
FlipMillarBurns,LifetimeTV,Directed,427,,,1.0
ben_noypi11,Variety,Directed,428,,,1.0
ben_noypi11,KellyClarkson,Directed,429,,,1.0
ashleypsyche20,GalGadot,Directed,430,,,1.0
everylittlepine,Variety,Directed,431,,,1.0
everylittlepine,LifetimeTV,Directed,432,,,1.0
roberalert,DCFilmaniacos,Directed,433,,,1.0
roberalert,TaurooAldebaran,Directed,434,,,1.0
Cozytvcatlover,annabellemovie,Directed,435,,,1.0
Fixfxh_kxj,theTelluris,Directed,436,,,1.0
digitalhomeboy,Variety,Directed,437,,,3.0
