,word_finance,freq_finance
741,curve,1
742,repay,1
743,mass,1
744,overseas,1
745,starting,1
746,represent,3
747,forget,4
748,founder,12
749,caused,1
750,dollar,5
751,month,11
752,surgical,9
753,settlement,1
754,thursday,17
755,program,3
756,case,3
757,premium,7
758,worse,1
759,sitting,2
760,far,3
761,ouch,1
762,decide,1
763,fall,4
764,sony,1
765,wsj,1
766,list,3
767,large,2
768,saudi,1
769,small,1
770,sank,1
771,ten,2
772,clinch,1
773,nearing,1
774,past,4
775,rate,21
776,perspective,1
777,nbc,1
778,investment,10
779,returned,2
780,pinterest,1
781,investing,6
782,suv,3
783,version,1
784,public,48
785,movement,1
786,turmoil,1
787,full,2
788,leaping,1
789,operating,2
790,november,2
791,strong,8
792,backlash,1
793,publisher,1
794,search,4
795,antagonizing,1
796,ahead,3
797,brutal,1
798,prior,2
799,amount,2
800,healthier,4
801,advertising,1
802,rory,1
803,social,7
804,provable,1
805,myra,1
806,trainer,1
807,via,1
808,glitch,1
809,href,3
810,marketo,3
811,destination,3
812,two,13
813,governance,1
814,taken,1
815,injury,2
816,flat,2
817,israel,1
818,company,79
819,known,4
820,weighed,1
821,midstream,2
822,nine,1
823,morgan,4
824,ilumina,3
825,dec,2
826,reaps,2
827,history,2
828,compare,4
829,share,92
830,sharp,1
831,huge,2
832,court,2
833,drained,1
834,hugo,1
835,earnings,9
836,explains,5
837,nrgm,2
838,alibaba,16
839,coming,5
840,response,1
841,short,7
842,anytime,2
843,fundamental,2
844,mkto,2
845,shork,6
846,help,2
847,leigh,2
848,september,2
849,bowl,20
850,soon,3
851,trade,2
852,held,4
853,paper,1
854,surgeon,1
855,developer,2
856,discloses,1
857,rapidly,1
858,botched,1
859,actually,1
860,late,1
861,pch,2
862,ruining,1
863,stephen,3
864,might,2
865,fool,1
866,good,8
867,return,5
868,ceo,28
869,bought,4
870,waged,1
871,reminder,1
872,bigger,9
873,loosely,1
874,mastercard,9
875,heavy,1
876,week,11
877,harm,1
878,everyone,1
879,house,1
880,energy,8
881,hard,2
882,positioned,4
883,idea,1
884,slowdown,1
885,expect,2
886,beyond,1
887,insurance,10
888,really,1
889,quincy,1
890,since,25
891,research,4
892,health,4
893,issue,1
894,wisconsin,2
895,belief,1
896,risen,1
897,friday,3
898,backer,3
899,nationally,2
900,reason,2
901,put,5
902,earliest,1
903,terrible,3
904,american,3
905,threat,3
906,disincentive,1
907,fallen,2
908,major,5
909,number,5
910,fancy,1
911,done,1
912,wager,1
913,story,1
914,leading,2
915,least,4
916,regulation,7
917,jed,2
918,entrepreneur,2
919,store,2
920,fumble,18
921,selling,19
922,option,2
923,inergy,2
924,hotel,9
925,part,9
926,focusing,1
927,believe,1
928,obama,3
929,kind,1
930,grew,8
931,double,2
932,marriage,2
933,toward,1
934,heaviest,1
935,juice,1
936,liedtke,1
937,bhp,1
938,sell,20
939,relationship,2
940,depending,2
941,javers,4
942,also,12
943,chairman,1
944,play,1
945,added,5
946,hourly,2
947,goldman,1
948,freddie,2
949,cigarette,3
950,hired,1
951,shareholder,5
952,plan,6
953,significant,1
954,xlviii,2
955,tpg,1
956,mobile,5
957,clear,3
958,sometimes,1
959,cover,1
960,traditional,8
961,latest,1
962,microsoft,12
963,phenomenon,2
964,hopper,1
965,nasdaq,4
966,hyped,1
967,fine,1
968,find,7
969,impact,6
970,giant,2
971,copyright,6
972,writer,2
973,penalty,2
974,condon,1
975,dysfunctional,2
976,equity,7
977,glut,4
978,hit,8
979,cheaper,1
980,famous,4
981,bofa,2
982,spiked,1
983,common,8
984,activity,1
985,hype,1
986,starwood,2
987,set,5
988,creator,1
989,collectively,1
990,see,12
991,individual,4
992,sec,2
993,plummeted,1
994,close,21
995,angie,2
996,declined,4
997,expert,1
998,movie,2
999,probably,5
1000,burned,1
1001,adchoices,8
1002,steelers,4
1003,available,1
1004,recently,1
1005,sold,14
1006,attention,3
1007,last,6
1008,license,2
1009,restaurant,1
1010,annual,5
1011,foreign,4
1012,cynic,1
1013,bell,1
1014,loan,3
1015,simply,2
1016,expensive,1
1017,decline,8
1018,complication,6
1019,described,4
1020,raise,9
1021,strategy,10
1022,brick,4
1023,territory,3
1024,meeting,2
1025,firm,7
1026,partly,1
1027,priced,6
1028,fund,6
1029,understand,1
1030,representative,1
1031,demand,3
1032,loom,18
1033,look,23
1034,solid,2
1035,straight,1
1036,tip,1
1037,wyatt,2
1038,institute,2
1039,cronut,2
1040,guide,1
1041,real,1
1042,mystic,1
1043,disappointing,1
1044,virtu,3
1045,truckmaker,4
1046,rid,2
1047,fannie,2
1048,increased,1
1049,anymore,2
1050,shackle,1
1051,widely,3
1052,higher,6
1053,used,3
1054,flooded,1
1055,yesterday,2
1056,user,2
1057,robust,1
1058,recent,5
1059,cognoscente,1
1060,derisk,1
1061,older,4
1062,analysis,1
1063,savvy,6
1064,traffic,1
1065,astecs,1
1066,reviewed,1
1067,using,1
1068,alternative,1
1069,prince,1
1070,profitable,1
1071,altria,6
1072,retirement,2
1073,majority,4
1074,guaranteed,1
1075,stwd,2
1076,eager,1
1077,causing,1
1078,surprised,1
1079,australia,1
1080,march,10
1081,big,3
1082,unlimited,1
1083,game,15
1084,imposed,1
1085,lost,3
1086,follows,1
1087,eeq,3
1088,eep,3
1089,continue,4
1090,surging,3
1091,ivan,1
1092,google,20
1093,often,2
1094,spring,1
1095,back,9
1096,bounce,1
1097,streaming,2
1098,strongest,3
1099,towards,1
1100,pricing,8
1101,scale,1
1102,decision,2
1103,audience,1
1104,per,17
1105,seller,2
1106,connecting,1
1107,patient,7
1108,agreement,1
1109,stem,1
1110,daimler,12
1111,pepsico,1
1112,constraint,1
1113,range,14
1114,obstetrician,1
1115,seeing,6
1116,within,3
1117,retailer,2
1118,awaited,2
1119,primarily,1
1120,bankruptcy,2
1121,spending,5
1122,fast,1
1123,record,5
1124,considerably,1
1125,slump,1
1126,reiterated,4
1127,atlantic,2
1128,filed,2
1129,russian,1
1130,line,2
1131,isrg,1
1132,raising,4
1133,fda,2
1134,intuitive,3
1135,foresight,1
1136,growth,15
1137,insurancequotes,2
1138,jumbo,2
1139,similar,2
1140,associated,6
1141,armstrong,4
1142,stripped,1
1143,prescience,1
1144,warning,1
1145,rally,1
1146,intensifying,2
1147,income,4
1148,department,2
1149,manhattan,2
1150,provided,1
1151,prepared,4
1152,stockmarket,1
1153,lenz,4
1154,ago,10
1155,vice,1
1156,depth,1
1157,dot,4
1158,buzziest,1
1159,fresh,1
1160,requires,1
1161,evidence,4
1162,advisory,1
1163,issued,1
1164,existing,2
1165,broader,1
1166,concerned,1
1167,young,1
1168,send,4
1169,lower,1
1170,citing,1
1171,stable,1
1172,include,5
1173,dramatically,1
1174,sent,1
1175,unitedhealth,1
1176,probe,1
1177,continues,3
1178,facebook,50
1179,drinking,1
1180,entire,1
1181,michael,4
1182,fewer,1
1183,race,1
1184,taobao,1
1185,massachusetts,1
1186,barbara,1
1187,disclaimer,1
1188,cap,4
1189,jump,11
1190,video,23
1191,repurchased,1
1192,click,4
1193,depression,5
1194,index,6
1195,business,14
1196,waning,1
1197,anthem,8
1198,assisted,1
1199,waiting,2
1200,volatile,1
1201,capital,5
1202,nicholas,4
1203,bird,10
1204,exercise,1
1205,led,6
1206,exchange,5
1207,commercial,3
1208,overvalued,1
1209,following,2
1210,let,3
1211,others,1
1212,tremor,1
1213,safer,1
1214,bode,2
1215,great,8
1216,technical,1
1217,resulting,1
1218,climb,4
1219,maker,22
1220,apple,1
1221,apr,4
1222,manage,1
1223,private,6
1224,privately,1
1225,cloud,1
1226,use,5
1227,feb,2
1228,usa,3
1229,breakup,1
1230,next,14
1231,eleven,1
1232,doubt,1
1233,expanding,5
1234,timing,1
1235,stage,1
1236,historically,1
1237,sort,2
1238,popped,1
1239,started,1
1240,sharply,1
1241,account,2
1242,recession,1
1243,anywhere,1
1244,crossed,2
1245,meet,2
1246,closing,2
1247,point,3
1248,beijing,1
1249,reserved,6
1250,lock,10
1251,benz,4
1252,tax,4
1253,high,10
1254,sought,1
1255,hesitate,1
1256,defective,2
1257,sig,1
1258,stock,118
1259,tier,1
1260,prostate,1
1261,light,1
1262,bing,1
1263,counter,4
1264,robot,4
1265,chief,4
1266,jolie,3
1267,producer,1
1268,institutional,1
1269,move,5
1270,interpreted,1
1271,including,1
1272,willing,4
1273,choose,5
1274,holiday,7
1275,crash,8
1276,auto,2
1277,material,1
1278,dai,4
1279,cutting,3
1280,investor,22
1281,day,34
1282,february,3
1283,slide,3
1284,truth,1
1285,luster,1
1286,staying,1
1287,related,2
1288,society,1
1289,thirteen,2
1290,lukewarm,1
1291,entertainment,2
1292,armor,1
1293,glasenberg,1
1294,electronics,2
1295,disclose,1
1296,ban,2
1297,york,6
1298,regulatory,1
1299,van,8
1300,philip,3
1301,steering,2
1302,mainland,1
1303,hostile,1
1304,could,14
1305,keep,2
1306,ltd,4
1307,californian,4
1308,south,3
1309,designed,1
1310,swapped,1
1311,owned,4
1312,owner,4
1313,reached,1
1314,rakoff,2
1315,nyse,1
1316,management,10
1317,system,4
1318,painful,1
1319,exactly,1
1320,july,1
1321,valley,1
1322,ben,2
1323,punctured,1
1324,providing,1
1325,bet,1
1326,exhibit,1
1327,unchanged,4
1328,partnership,1
1329,bertha,7
1330,unlikely,1
1331,need,2
1332,viewed,1
1333,minimally,1
1334,able,2
1335,mid,4
