player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
Richaun Holmes,C,23,PHI,57,17,20.9,4,7.2,0.558,0.5,1.4,0.351,3.6,5.9,0.606,0.591,1.3,1.3,0.699,1.6,3.8,5.5,1,0.7,1,1,2.4,9.8,1025831
Rodney Hood,SG,24,UTA,59,55,27,4.6,11.3,0.408,1.9,5.2,0.371,2.7,6.1,0.44,0.494,1.5,1.5,0.783,0.3,3.2,3.4,1.6,0.6,0.2,1.1,2.2,12.7,1406520
Al Horford,C,30,BOS,68,68,32.3,5.6,11.8,0.473,1.3,3.6,0.355,4.3,8.2,0.524,0.527,1.6,1.6,0.8,1.4,5.4,6.8,5,0.8,1.3,1.7,2,14,26540100
Dwight Howard,C,31,ATL,74,74,29.7,5.2,8.3,0.633,0,0,0,5.2,8.3,0.635,0.633,3.1,3.1,0.533,4,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,23180275
Marcelo Huertas,PG,33,LAL,23,1,10.3,1.1,3,0.368,0.2,0.8,0.211,0.9,2.1,0.429,0.397,0.4,0.4,0.529,0.1,1,1,2.3,0.4,0.1,0.8,0.7,2.7,1500000
Josh Huestis,PF,25,OKC,2,0,15.5,3,5.5,0.545,1,2,0.5,2,3.5,0.571,0.636,0,0,0,2,2.5,4.5,1.5,0,1.5,0,0,7,1191480
R.J. Hunter,SG,23,CHI,3,0,3,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,864346
Andre Iguodala,SF,33,GSW,76,0,26.3,2.9,5.5,0.528,0.8,2.3,0.362,2,3.1,0.651,0.605,0.9,0.9,0.706,0.7,3.3,4,3.4,1,0.5,0.8,1.3,7.6,11131368
Joe Ingles,SF,29,UTA,82,26,24,2.5,5.5,0.452,1.5,3.4,0.441,1,2.1,0.471,0.589,0.6,0.6,0.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2,7.1,2150000
Brandon Ingram,SF,19,LAL,79,40,28.8,3.5,8.7,0.402,0.7,2.4,0.294,2.8,6.3,0.443,0.442,1.7,1.7,0.621,0.8,3.2,4,2.1,0.6,0.5,1.5,2,9.4,5281680
Kyrie Irving,PG,24,CLE,72,72,35.1,9.3,19.7,0.473,2.5,6.1,0.401,6.9,13.6,0.505,0.535,4.1,4.1,0.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2,17638063
Demetrius Jackson,PG,22,BOS,5,0,3.4,0.6,0.8,0.75,0.2,0.2,1,0.4,0.6,0.667,0.875,0.6,0.6,0.5,0.4,0.4,0.8,0.6,0,0,0,0,2,1450000
Pierre Jackson,PG,25,DAL,8,1,10.5,1.6,4.9,0.333,0.4,1.4,0.273,1.3,3.5,0.357,0.372,0.8,0.8,0.857,0.1,1,1.1,2.4,0.3,0,0.4,0.6,4.4,31969
