player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
Okaro White,PF,24,MIA,35,0,13.5,0.9,2.5,0.379,0.3,1,0.353,0.6,1.5,0.396,0.448,0.6,0.6,0.909,0.7,1.6,2.3,0.6,0.3,0.3,0.5,1.5,2.8,210995
Isaiah Whitehead,PG,21,BRK,73,26,22.5,2.8,7,0.402,0.6,2,0.295,2.2,4.9,0.446,0.445,1.2,1.2,0.805,0.4,2.1,2.5,2.6,0.6,0.5,1.9,2.4,7.4,1074145
Andrew Wiggins,SF,21,MIN,82,82,37.2,8.6,19.1,0.452,1.3,3.5,0.356,7.4,15.6,0.473,0.484,5,5,0.76,1.2,2.8,4,2.3,1,0.4,2.3,2.2,23.6,6006600
Marvin Williams,PF,30,CHO,76,76,30.2,3.9,9.3,0.422,1.6,4.7,0.35,2.3,4.6,0.494,0.51,1.7,1.7,0.873,1.2,5.4,6.6,1.4,0.8,0.7,0.8,1.8,11.2,12250000
Reggie Williams,SF,30,NOP,6,0,13.2,1.3,3.8,0.348,0.8,1.8,0.455,0.5,2,0.25,0.457,1,1,0.857,0.3,0.7,1,0.7,0.5,0,0,0.3,4.5,895197
Justise Winslow,SF,20,MIA,18,15,34.7,4.4,12.5,0.356,0.4,1.9,0.2,4.1,10.6,0.384,0.371,1.6,1.6,0.617,1.3,3.9,5.2,3.7,1.4,0.3,1.8,2.9,10.9,2593440
Christian Wood,PF,21,CHO,13,0,8.2,0.9,1.8,0.522,0,0.4,0,0.9,1.4,0.667,0.522,0.8,0.8,0.733,1.1,1.2,2.2,0.2,0.2,0.5,0.5,0.8,2.7,874636
Brandan Wright,PF,29,MEM,28,5,16,3,4.8,0.615,0,0,0,3,4.8,0.619,0.615,0.8,0.8,0.657,1.1,1.7,2.8,0.5,0.4,0.7,0.4,1.5,6.8,5709880
Delon Wright,PG,24,TOR,27,0,16.5,1.8,4.3,0.422,0.4,1.1,0.333,1.4,3.2,0.453,0.466,1.6,1.6,0.764,0.6,1.2,1.8,2.1,1,0.4,0.9,1.1,5.6,1577280
James Young,SG,21,BOS,29,0,7.6,0.9,2,0.431,0.4,1.2,0.343,0.4,0.8,0.565,0.534,0.2,0.2,0.667,0.2,0.7,0.9,0.1,0.3,0.1,0.1,0.5,2.3,1825200
Joe Young,PG,24,IND,33,0,4.1,0.8,2.2,0.361,0.2,0.7,0.217,0.6,1.5,0.429,0.396,0.3,0.3,0.733,0,0.5,0.5,0.5,0.1,0,0.2,0.2,2.1,1052342
Nick Young,SG,31,LAL,60,60,25.9,4.5,10.6,0.43,2.8,7,0.404,1.7,3.5,0.481,0.564,1.3,1.3,0.856,0.4,1.9,2.3,1,0.6,0.2,0.6,2.3,13.2,5443918
Thaddeus Young,PF,28,IND,74,74,30.2,4.9,9.3,0.527,0.6,1.6,0.381,4.3,7.7,0.557,0.56,0.6,0.6,0.523,1.8,4.3,6.1,1.6,1.5,0.4,1.3,1.8,11,14153652
Cody Zeller,PF,24,CHO,62,58,27.8,4.1,7.1,0.571,0,0,0,4.1,7.1,0.572,0.571,2.1,2.1,0.679,2.2,4.4,6.5,1.6,1,0.9,1,3,10.3,5318313
Stephen Zimmerman,C,20,ORL,19,0,5.7,0.5,1.6,0.323,0,0,0,0.5,1.6,0.323,0.323,0.2,0.2,0.6,0.6,1.3,1.8,0.2,0.1,0.3,0.2,0.9,1.2,950000
Paul Zipser,SF,22,CHI,44,18,19.2,2,5,0.398,0.8,2.3,0.333,1.3,2.8,0.451,0.473,0.7,0.7,0.775,0.3,2.5,2.8,0.8,0.3,0.4,0.9,1.8,5.5,750000
Ivica Zubac,C,19,LAL,38,11,16,3.3,6.3,0.529,0,0.1,0,3.3,6.2,0.536,0.529,0.8,0.8,0.653,1.1,3.1,4.2,0.8,0.4,0.9,0.8,1.7,7.5,1034956
